global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc,date
1547,104.0,2025-11-23 03:29:42,1547,Dongguan (东莞),https://aqicn.org/city/dongguan,23.020536,113.751765,104,pm25,104.0,45.0,30.9,14.7,8.2,6.4,22.0,40.0,1022.0,4.6,,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:48,2025-11-23
1567,114.0,2025-11-23 03:29:42,1567,Yuxi (玉溪),https://aqicn.org/city/yuxi,24.352036,102.546543,114,pm25,114.0,48.0,7.4,14.2,2.1,11.8,11.0,71.0,1028.0,5.6,,99.2,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:43,2025-11-23
1583,159.0,2025-11-23 03:29:42,1583,"Hanoi, Vietnam (Hà Nội)",https://aqicn.org/city/vietnam/hanoi,21.0491,105.8831,159,pm25,159.0,95.0,,1.0,15.0,6.0,23.0,56.0,1022.0,2.0,14.0,,,2025-11-23 10:00:00,+07:00,1763892000,2025-11-23 03:59:22,2025-11-23
1606,53.0,2025-11-23 03:29:42,1606,"Longtan, Taiwan (龍潭)",https://aqicn.org/city/taiwan/longtan,24.863869,121.21635,53,pm25,53.0,22.0,30.5,6.2,1.2,3.0,21.5,75.0,1020.0,2.0,20.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:01,2025-11-23
1609,55.0,2025-11-23 03:29:42,1609,"Hsinchu, Taiwan (新竹)",https://aqicn.org/city/taiwan/hsinchu,24.805619,120.972075,55,pm25,55.0,26.0,35.4,7.0,2.3,2.8,23.3,73.0,1020.0,0.8,20.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:08,2025-11-23
1611,61.0,2025-11-23 03:29:42,1611,"Miaoli, Taiwan (苗栗)",https://aqicn.org/city/taiwan/miaoli,24.565269,120.8202,61,pm25,61.0,19.0,28.0,5.9,2.6,2.4,24.2,67.0,1020.0,1.9,19.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:03,2025-11-23
1616,50.0,2025-11-23 03:29:42,1616,"Zhongming, Taiwan (忠明)",https://aqicn.org/city/taiwan/jhongming,24.151958,120.641092,50,pm25,50.0,18.0,27.1,6.9,2.8,2.7,25.5,57.0,1020.0,1.1,19.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:11,2025-11-23
1619,59.0,2025-11-23 03:29:42,1619,"Xianxi, Taiwan (線西)",https://aqicn.org/city/taiwan/siansi,24.131672,120.469061,59,pm25,59.0,40.0,32.5,6.7,4.2,3.0,23.8,69.0,1020.0,4.0,19.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:10,2025-11-23
1620,50.0,2025-11-23 03:29:42,1620,"Erlin, Taiwan (二林)",https://aqicn.org/city/taiwan/erlin,23.925175,120.409653,50,pm25,50.0,22.0,34.9,3.1,2.8,2.5,24.1,73.0,1020.0,3.4,19.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:11,2025-11-23
1624,68.0,2025-11-23 03:29:42,1624,"Xingang, Taiwan (新港)",https://aqicn.org/city/taiwan/singang,23.554839,120.345531,68,pm25,68.0,29.0,30.7,6.8,3.5,2.5,23.5,64.0,1020.0,2.0,18.5,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:05,2025-11-23
1627,76.0,2025-11-23 03:29:42,1627,"Chiayi, Taiwan (嘉義)",https://aqicn.org/city/taiwan/chiayi,23.462778,120.440833,76,pm25,76.0,30.0,33.1,7.4,4.2,3.3,25.5,56.0,1020.0,0.5,18.5,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:10,2025-11-23
1628,70.0,2025-11-23 03:29:42,1628,"Xinying, Taiwan (新營)",https://aqicn.org/city/taiwan/sinying,23.305633,120.31725,70,pm25,70.0,40.0,29.2,9.5,2.3,3.3,23.1,65.0,1020.0,2.0,18.5,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:06,2025-11-23
1632,53.0,2025-11-23 03:29:42,1632,"Meinong, Taiwan (美濃)",https://aqicn.org/city/taiwan/meinong,22.883583,120.530542,53,pm25,53.0,20.0,35.1,2.5,1.6,2.6,27.5,57.5,1020.0,0.5,18.5,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:03,2025-11-23
1637,122.0,2025-11-23 03:29:42,1637,"Linyuan, Taiwan (林園)",https://aqicn.org/city/taiwan/linyuan,22.4795,120.41175,122,pm25,122.0,71.0,77.6,6.0,9.2,8.2,26.0,69.0,1018.5,1.5,18.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:02,2025-11-23
1639,114.0,2025-11-23 03:29:42,1639,"Zuoying, Taiwan (左營)",https://aqicn.org/city/taiwan/zuoying,22.674861,120.292917,114,pm25,114.0,60.0,42.9,16.6,3.9,5.8,25.3,68.0,1018.5,0.8,18.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:11,2025-11-23
1643,61.0,2025-11-23 03:29:42,1643,"Pingtung, Taiwan (屏東)",https://aqicn.org/city/taiwan/pingtung,22.673081,120.488033,61,pm25,61.0,33.0,43.4,4.8,1.8,3.0,27.8,68.0,1018.5,0.8,18.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:10,2025-11-23
1645,32.0,2025-11-23 03:29:42,1645,"Hengchun, Taiwan (恆春)",https://aqicn.org/city/taiwan/hengchun,21.958069,120.788928,32,o3,30.0,15.0,31.6,0.6,0.9,1.4,26.0,66.0,1018.0,4.3,19.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:09,2025-11-23
1646,38.0,2025-11-23 03:29:42,1646,"Taitung, Taiwan (台東)",https://aqicn.org/city/taiwan/taitung,22.755358,121.15045,38,pm25,38.0,17.0,29.0,3.0,1.8,1.7,26.7,59.0,1019.7,1.7,19.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:02,2025-11-23
1647,20.0,2025-11-23 03:29:42,1647,"Hualien, Taiwan (花蓮)",https://aqicn.org/city/taiwan/hualien,23.971306,121.599769,20,o3,17.0,10.0,20.0,3.3,1.6,2.6,24.6,66.0,1020.8,2.5,,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:02,2025-11-23
1649,28.0,2025-11-23 03:29:42,1649,"Yilan, Taiwan (宜蘭)",https://aqicn.org/city/taiwan/yilan,24.747917,121.746394,28,o3,25.0,11.0,28.1,2.1,1.3,2.2,24.7,76.0,1020.8,1.3,20.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:06,2025-11-23
1653,42.0,2025-11-23 03:29:42,1653,"Zhushan, Taiwan (竹山)",https://aqicn.org/city/taiwan/jhushan,23.756389,120.677306,42,pm25,42.0,14.0,35.4,3.8,2.0,1.8,31.1,33.0,987.9,0.2,,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:11,2025-11-23
1656,38.0,2025-11-23 03:29:42,1656,"Puli, Taiwan (埔里)",https://aqicn.org/city/taiwan/puli,23.968842,120.967903,38,pm25,38.0,10.0,28.1,5.8,1.5,3.2,16.2,94.0,987.9,0.2,,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:10,2025-11-23
1658,76.0,2025-11-23 03:29:42,1658,"Kinmen, Taiwan (金門)",https://aqicn.org/city/taiwan/kinmen,24.432133,118.312256,76,pm25,76.0,38.0,43.4,10.8,3.9,3.6,19.9,61.0,1021.0,5.8,12.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:39,2025-11-23
1660,23.0,2025-11-23 03:29:42,1660,"Guanshan, Taiwan (關山)",https://aqicn.org/city/taiwan/guanshan,23.045083,121.161933,23,o3,17.0,7.0,23.3,1.7,1.0,1.4,24.1,62.0,1019.5,1.4,19.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:00:02,2025-11-23
13644,,2025-11-23 03:29:42,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,25,pm25,25.0,17.0,3.0,,2.0,4.0,32.0,62.0,1010.0,1.5,24.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:57:49,2025-11-23
1664,61.0,2025-11-23 03:29:42,1664,"East, Singapore",https://aqicn.org/city/singapore/east,1.3645924,103.9477547,61,pm25,61.0,20.0,4.0,,3.0,5.0,30.0,70.0,1010.0,2.5,24.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:58:22,2025-11-23
1814,105.0,2025-11-23 03:29:42,1814,"Highway District, Samut Sakhon, Thailand (แขวงการทางสมุทรสาคร)",https://aqicn.org/city/thailand/samut-sakhon/highway-district,13.7054879,100.315622,105,pm25,105.0,51.0,17.0,3.5,1.6,0.1,26.3,11.2,1014.8,1.0,-6.3,99.1,,2025-11-23 10:00:00,+07:00,1763892000,2025-11-23 03:58:08,2025-11-23
1816,106.0,2025-11-23 03:29:42,1816,"Sukhothai Thammathirat Open University, Nonthaburi, Thailand (มหาวิทยาลัยสุโขทัยธรรมาธิราช)",https://aqicn.org/city/thailand/nonthaburi/sukhothai-thammathirat-open-university,13.907861,100.535641,106,pm25,106.0,55.0,6.4,13.9,0.6,0.1,25.0,61.0,1015.0,6.6,17.0,,,2025-11-23 10:00:00,+07:00,1763892000,2025-11-23 03:58:49,2025-11-23
