uid,lat,lon,aqi,tile_lat1,tile_lon1,tile_lat2,tile_lon2,snapshot_utc
10699,-45.40680023471,-72.696259617805,5.0,-60,-80,-40,-60,2025-11-24 20:43:16
4981,-53.158295492238,-70.921497482453,,-60,-80,-40,-60,2025-11-24 20:43:16
428,-40.584478665958,-73.11871982209,26.0,-60,-80,-40,-60,2025-11-24 20:43:16
8821,-41.4795069236,-72.968755930145,17.0,-60,-80,-40,-60,2025-11-24 20:43:16
14756,-41.328935085299,-72.968208759506,55.0,-60,-80,-40,-60,2025-11-24 20:43:16
10698,-40.286857441758,-73.076710459412,13.0,-60,-80,-40,-60,2025-11-24 20:43:16
445,-45.57996447948,-72.061125987766,29.0,-60,-80,-40,-60,2025-11-24 20:43:16
3287,-41.111,146.836,5.0,-60,140,-40,160,2025-11-24 20:43:16
10724,-42.081,145.553,,-60,140,-40,160,2025-11-24 20:43:16
3300,-43.01,146.94,5.0,-60,140,-40,160,2025-11-24 20:43:16
3302,-43.17,146.925,9.0,-60,140,-40,160,2025-11-24 20:43:16
3295,-41.638,147.967,5.0,-60,140,-40,160,2025-11-24 20:43:16
3286,-41.578,147.172,9.0,-60,140,-40,160,2025-11-24 20:43:16
3296,-41.928,147.491,5.0,-60,140,-40,160,2025-11-24 20:43:16
8298,-42.819,147.817,5.0,-60,140,-40,160,2025-11-24 20:43:16
8753,-42.861,147.404,5.0,-60,140,-40,160,2025-11-24 20:43:16
9082,-42.3,147.372,1.0,-60,140,-40,160,2025-11-24 20:43:16
3280,-41.159,146.146,5.0,-60,140,-40,160,2025-11-24 20:43:16
3278,-40.992,145.718,9.0,-60,140,-40,160,2025-11-24 20:43:16
3279,-41.108,145.883,5.0,-60,140,-40,160,2025-11-24 20:43:16
9083,-42.509,147.913,5.0,-60,140,-40,160,2025-11-24 20:43:16
3298,-42.776,147.054,5.0,-60,140,-40,160,2025-11-24 20:43:16
3292,-41.162,147.515,5.0,-60,140,-40,160,2025-11-24 20:43:16
10725,-41.238,146.42,1.0,-60,140,-40,160,2025-11-24 20:43:16
3277,-40.85,145.133,5.0,-60,140,-40,160,2025-11-24 20:43:16
3281,-41.43,146.338,5.0,-60,140,-40,160,2025-11-24 20:43:16
3288,-41.303,146.951,5.0,-60,140,-40,160,2025-11-24 20:43:16
3299,-42.855,147.315,5.0,-60,140,-40,160,2025-11-24 20:43:16
3294,-41.32,148.25,5.0,-60,140,-40,160,2025-11-24 20:43:16
3283,-41.53,146.835,9.0,-60,140,-40,160,2025-11-24 20:43:16
3285,-41.595,147.122,42.0,-60,140,-40,160,2025-11-24 20:43:16
3291,-41.25,147.217,1.0,-60,140,-40,160,2025-11-24 20:43:16
11969,-41.52663988,173.95608203,10.0,-60,160,-40,180,2025-11-24 20:43:16
11970,-41.29511685,173.2423759,24.0,-60,160,-40,180,2025-11-24 20:43:16
11980,-46.431928390214,168.36991681188,8.0,-60,160,-40,180,2025-11-24 20:43:16
9100,-44.0911852,171.2437353,29.0,-60,160,-40,180,2025-11-24 20:43:16
9098,-43.303356,172.5957246,15.0,-60,160,-40,180,2025-11-24 20:43:16
9101,-44.4041809,171.2487857,24.0,-60,160,-40,180,2025-11-24 20:43:16
9103,-44.7332907,171.0509586,24.0,-60,160,-40,180,2025-11-24 20:43:16
11979,-46.10620888899,168.9396792352,2.0,-60,160,-40,180,2025-11-24 20:43:16
9096,-43.5473746,172.6790455,27.0,-60,160,-40,180,2025-11-24 20:43:16
14750,-37.508937992394,-72.656092617752,80.0,-40,-80,-20,-60,2025-11-24 20:43:16
8820,-35.836942234921,-71.592865853985,25.0,-40,-80,-20,-60,2025-11-24 20:43:16
430,-33.37677352033,-70.523326784061,70.0,-40,-80,-20,-60,2025-11-24 20:43:16
14759,-32.937001,-71.273726,25.0,-40,-80,-20,-60,2025-11-24 20:43:16
425,-38.74869912298,-72.620788228172,33.0,-40,-80,-20,-60,2025-11-24 20:43:16
10691,-36.923329602986,-73.036132300941,63.0,-40,-80,-20,-60,2025-11-24 20:43:16
14754,-37.077619809695,-73.154136498581,53.0,-40,-80,-20,-60,2025-11-24 20:43:16
4975,-27.370329154948,-70.323906678352,53.0,-40,-80,-20,-60,2025-11-24 20:43:16
14749,-37.267803138651,-72.710695266724,36.0,-40,-80,-20,-60,2025-11-24 20:43:16
14729,-35.969115075775,-72.316818237305,28.0,-40,-80,-20,-60,2025-11-24 20:43:16
422,-34.974925077541,-71.233967512329,42.0,-40,-80,-20,-60,2025-11-24 20:43:16
7923,-36.601713211434,-72.958522830688,15.0,-40,-80,-20,-60,2025-11-24 20:43:16
10688,-34.394541417902,-70.852981542328,53.0,-40,-80,-20,-60,2025-11-24 20:43:16
4976,-29.933006518748,-71.261966365967,13.0,-40,-80,-20,-60,2025-11-24 20:43:16
418,-23.61354215815,-70.383315682411,46.0,-40,-80,-20,-60,2025-11-24 20:43:16
10689,-27.393267718517,-70.298615435165,45.0,-40,-80,-20,-60,2025-11-24 20:43:16
439,-39.831316104673,-73.22851282209,10.0,-40,-80,-20,-60,2025-11-24 20:43:16
419,-34.162314609087,-70.713919225517,68.0,-40,-80,-20,-60,2025-11-24 20:43:16
14731,-33.495361139755,-70.704821317871,91.0,-40,-80,-20,-60,2025-11-24 20:43:16
440,-22.111064,-70.210828,59.0,-40,-80,-20,-60,2025-11-24 20:43:16
8819,-20.290466881209,-70.100192427636,13.0,-40,-80,-20,-60,2025-11-24 20:43:16
423,-35.435725588722,-71.619553864003,25.0,-40,-80,-20,-60,2025-11-24 20:43:16
437,-33.673752071375,-70.953064737434,56.0,-40,-80,-20,-60,2025-11-24 20:43:16
438,-33.349626928347,-70.723792612552,53.0,-40,-80,-20,-60,2025-11-24 20:43:16
14734,-32.924568,-71.515399,46.0,-40,-80,-20,-60,2025-11-24 20:43:16
14751,-32.794968417299,-71.496099073086,38.0,-40,-80,-20,-60,2025-11-24 20:43:16
14743,-22.450496,-68.908442,46.0,-40,-80,-20,-60,2025-11-24 20:43:16
14727,-37.471182288689,-72.36146284977,32.0,-40,-80,-20,-60,2025-11-24 20:43:16
443,-36.616167751711,-72.093040558483,56.0,-40,-80,-20,-60,2025-11-24 20:43:16
14744,-36.769803,-73.113708,42.0,-40,-80,-20,-60,2025-11-24 20:43:16
424,-35.406582744695,-71.633396474869,38.0,-40,-80,-20,-60,2025-11-24 20:43:16
10694,-37.485131692556,-73.331626473541,53.0,-40,-80,-20,-60,2025-11-24 20:43:16
14738,-31.889278312544,-70.629311769684,30.0,-40,-80,-20,-60,2025-11-24 20:43:16
14740,-28.466423001884,-71.221554279327,38.0,-40,-80,-20,-60,2025-11-24 20:43:16
8112,-22.946728416,-47.119280862,50.0,-40,-60,-20,-40,2025-11-24 20:43:16
336,-21.141942758,-48.983075271,24.0,-40,-60,-20,-40,2025-11-24 20:43:16
353,-22.199809487,-49.959969746,24.0,-40,-60,-20,-40,2025-11-24 20:43:16
12508,-22.801917139,-45.19112236,30.0,-40,-60,-20,-40,2025-11-24 20:43:16
334,-23.668356146,-46.780043384,38.0,-40,-60,-20,-40,2025-11-24 20:43:16
339,-23.879026731,-46.418483362,14.0,-40,-60,-20,-40,2025-11-24 20:43:16
12576,-23.413209741,-46.756053991,46.0,-40,-60,-20,-40,2025-11-24 20:43:16
329,-22.724506902,-47.347456368,33.0,-40,-60,-20,-40,2025-11-24 20:43:16
12722,-20.19614,-40.24521,,-40,-60,-20,-40,2025-11-24 20:43:16
12721,-20.34201,-40.40218,,-40,-60,-20,-40,2025-11-24 20:43:16
7971,-23.698671086,-46.546232187,21.0,-40,-60,-20,-40,2025-11-24 20:43:16
331,-21.782522146,-48.185831813,25.0,-40,-60,-20,-40,2025-11-24 20:43:16
364,-22.119936735,-51.408777068,32.0,-40,-60,-20,-40,2025-11-24 20:43:16
8517,-22.874618945,-47.058972757,27.0,-40,-60,-20,-40,2025-11-24 20:43:16
350,-22.298619664,-48.567457405,27.0,-40,-60,-20,-40,2025-11-24 20:43:16
365,-21.177065942,-47.818987671,22.0,-40,-60,-20,-40,2025-11-24 20:43:16
374,-20.784689284,-49.398277793,20.0,-40,-60,-20,-40,2025-11-24 20:43:16
340,-23.831589008,-46.369568791,8.0,-40,-60,-20,-40,2025-11-24 20:43:16
349,-23.294199244,-45.968233864,30.0,-40,-60,-20,-40,2025-11-24 20:43:16
351,-23.192003743,-46.897097273,23.0,-40,-60,-20,-40,2025-11-24 20:43:16
376,-23.502426584,-47.479029912,14.0,-40,-60,-20,-40,2025-11-24 20:43:16
330,-21.1868411,-50.43931685,27.0,-40,-60,-20,-40,2025-11-24 20:43:16
8399,-34.635582,-58.5518647,,-40,-60,-20,-40,2025-11-24 20:43:16
371,-23.963057204,-46.321170094,20.0,-40,-60,-20,-40,2025-11-24 20:43:16
14045,-23.805225613,-45.400052495,47.0,-40,-60,-20,-40,2025-11-24 20:43:16
8400,-34.5995674,-58.3915767,,-40,-60,-20,-40,2025-11-24 20:43:16
363,-22.70122234,-47.64965269,32.0,-40,-60,-20,-40,2025-11-24 20:43:16
343,-23.455534258,-46.518533403,46.0,-40,-60,-20,-40,2025-11-24 20:43:16
378,-23.360751538,-47.870799066,23.0,-40,-60,-20,-40,2025-11-24 20:43:16
332,-22.326608397,-49.092759305,55.0,-40,-60,-20,-40,2025-11-24 20:43:16
8398,-34.6344961,-58.3631337,,-40,-60,-20,-40,2025-11-24 20:43:16
8514,-23.18788733,-45.871197623,20.0,-40,-60,-20,-40,2025-11-24 20:43:16
10703,-23.032350959,-45.575805025,72.0,-40,-60,-20,-40,2025-11-24 20:43:16
10701,-22.563603777,-47.414314034,33.0,-40,-60,-20,-40,2025-11-24 20:43:16
14059,-34.213,19.213,13.0,-40,0,-20,20,2025-11-24 20:43:16
11576,-33.627489,19.468318,16.0,-40,0,-20,20,2025-11-24 20:43:16
14068,-32.98312,17.98497,34.0,-40,0,-20,20,2025-11-24 20:43:16
12829,-33.913833,18.425167,37.0,-40,0,-20,20,2025-11-24 20:43:16
11409,-33.819667,18.514333,27.0,-40,0,-20,20,2025-11-24 20:43:16
14070,-33.857194,18.725778,30.0,-40,0,-20,20,2025-11-24 20:43:16
14072,-33.9155,18.643556,46.0,-40,0,-20,20,2025-11-24 20:43:16
14050,-26.764724,28.480081,,-40,20,-20,40,2025-11-24 20:43:16
14053,-26.251223,29.256391,,-40,20,-20,40,2025-11-24 20:43:16
11713,-25.835814,25.614534,59.0,-40,20,-20,40,2025-11-24 20:43:16
11833,-26.479639,27.867111,42.0,-40,20,-20,40,2025-11-24 20:43:16
14066,-25.483507788469588,27.167539254241067,,-40,20,-20,40,2025-11-24 20:43:16
14046,-26.891813,29.307828,,-40,20,-20,40,2025-11-24 20:43:16
14052,-26.097418,29.450599,,-40,20,-20,40,2025-11-24 20:43:16
13280,-25.716444,28.336667,56.0,-40,20,-20,40,2025-11-24 20:43:16
14858,-25.625702,27.851825,24.0,-40,20,-20,40,2025-11-24 20:43:16
14937,-24.966431,27.125312,13.0,-40,20,-20,40,2025-11-24 20:43:16
14932,-33.789662,25.618592,28.0,-40,20,-20,40,2025-11-24 20:43:16
11837,-29.934094,30.988622,32.0,-40,20,-20,40,2025-11-24 20:43:16
13275,-28.865283,31.911679,9.0,-40,20,-20,40,2025-11-24 20:43:16
12416,-26.523518,29.189015,23.0,-40,20,-20,40,2025-11-24 20:43:16
14051,-26.107896,28.974458,57.0,-40,20,-20,40,2025-11-24 20:43:16
10776,-26.688504,27.816736,62.0,-40,20,-20,40,2025-11-24 20:43:16
10784,-26.252611,27.872139,35.0,-40,20,-20,40,2025-11-24 20:43:16
13834,-30.20803,30.78202,84.0,-40,20,-20,40,2025-11-24 20:43:16
10756,-25.796056,29.462823,,-40,20,-20,40,2025-11-24 20:43:16
12548,-29.637583,30.337389,16.0,-40,20,-20,40,2025-11-24 20:43:16
14054,-26.138269,29.7389005,,-40,20,-20,40,2025-11-24 20:43:16
11785,-26.245481,29.417328,,-40,20,-20,40,2025-11-24 20:43:16
14071,-25.92225,29.24163,391.0,-40,20,-20,40,2025-11-24 20:43:16
14056,-23.738521,27.540346,155.0,-40,20,-20,40,2025-11-24 20:43:16
14074,-34.179158,22.097439,7.0,-40,20,-20,40,2025-11-24 20:43:16
11834,-29.858283,31.027286,13.0,-40,20,-20,40,2025-11-24 20:43:16
14060,-29.5574194444444,31.1200638888889,12.0,-40,20,-20,40,2025-11-24 20:43:16
14047,-27.112752,29.800233,16.0,-40,20,-20,40,2025-11-24 20:43:16
14073,-26.741956,29.608826,34.0,-40,20,-20,40,2025-11-24 20:43:16
12568,-26.551427,29.112381,28.0,-40,20,-20,40,2025-11-24 20:43:16
11578,-25.38512,28.254542,8.0,-40,20,-20,40,2025-11-24 20:43:16
11716,-24.731501,30.134383,,-40,20,-20,40,2025-11-24 20:43:16
12577,-26.724689,27.884772,,-40,20,-20,40,2025-11-24 20:43:16
14055,-23.656028,27.627997,,-40,20,-20,40,2025-11-24 20:43:16
10781,-33.763778,25.683428,18.0,-40,20,-20,40,2025-11-24 20:43:16
14062,-26.086232,30.110653,30.0,-40,20,-20,40,2025-11-24 20:43:16
13282,-25.992923,28.203952,38.0,-40,20,-20,40,2025-11-24 20:43:16
12578,-23.884413,29.405415,646.0,-40,20,-20,40,2025-11-24 20:43:16
11672,-25.921853,28.018873,59.0,-40,20,-20,40,2025-11-24 20:43:16
5034,-21.312802777778,55.474075,2.0,-40,40,-20,60,2025-11-24 20:43:16
5036,-21.294333333334,55.627916666667,,-40,40,-20,60,2025-11-24 20:43:16
8760,-21.223063888889,55.302513888889,1.0,-40,40,-20,60,2025-11-24 20:43:16
8759,-20.889833333333,55.469111111111,24.0,-40,40,-20,60,2025-11-24 20:43:16
8622,-21.022111111111,55.266775,6.0,-40,40,-20,60,2025-11-24 20:43:16
6433,-31.8757651,115.9660496,3.0,-40,100,-20,120,2025-11-24 20:43:16
6434,-31.8341204,115.7835905,5.0,-40,100,-20,120,2025-11-24 20:43:16
6435,-32.1109198,115.838042,8.0,-40,100,-20,120,2025-11-24 20:43:16
6439,-33.6499446,115.3446115,5.0,-40,100,-20,120,2025-11-24 20:43:16
12491,-32.5361,115.7424,6.0,-40,100,-20,120,2025-11-24 20:43:16
6436,-28.7732192,114.6096326,10.0,-40,100,-20,120,2025-11-24 20:43:16
6440,-35.0238227,117.8847286,5.0,-40,100,-20,120,2025-11-24 20:43:16
6438,-33.3270685,115.6391736,5.0,-40,100,-20,120,2025-11-24 20:43:16
6441,-33.3588705,116.1540412,3.0,-40,100,-20,120,2025-11-24 20:43:16
5132,-20.7264,139.4977,57.0,-40,120,-20,140,2025-11-24 20:43:16
10147,-30.749,121.466,5.0,-40,120,-20,140,2025-11-24 20:43:16
10721,-34.5348,144.8291,7.0,-40,140,-20,160,2025-11-24 20:43:16
13771,-29.620556,152.96333,7.0,-40,140,-20,160,2025-11-24 20:43:16
13769,-33.0665,147.2283,67.0,-40,140,-20,160,2025-11-24 20:43:16
14898,-27.8634,153.3257,31.0,-40,140,-20,160,2025-11-24 20:43:16
14881,-27.535158,151.931893,21.0,-40,140,-20,160,2025-11-24 20:43:16
12389,-32.0012,141.4694,4.0,-40,140,-20,160,2025-11-24 20:43:16
12691,-36.73228,146.9702,13.0,-40,140,-20,160,2025-11-24 20:43:16
12920,-34.2487,146.0695,14.0,-40,140,-20,160,2025-11-24 20:43:16
5763,-21.9995,148.071,73.0,-40,140,-20,160,2025-11-24 20:43:16
12539,-31.44747,152.87707,11.0,-40,140,-20,160,2025-11-24 20:43:16
14876,-25.5159,152.6894,27.0,-40,140,-20,160,2025-11-24 20:43:16
5119,-23.7744,151.1055,21.0,-40,140,-20,160,2025-11-24 20:43:16
13788,-34.8254,147.5099,18.0,-40,140,-20,160,2025-11-24 20:43:16
13770,-35.5575,144.9458,6.0,-40,140,-20,160,2025-11-24 20:43:16
10720,-35.0368,143.4895,1.0,-40,140,-20,160,2025-11-24 20:43:16
3254,-33.61644,150.7473,13.0,-40,140,-20,160,2025-11-24 20:43:16
3271,-33.40192,149.5746,16.0,-40,140,-20,160,2025-11-24 20:43:16
5128,-27.4848,153.0321,32.0,-40,140,-20,160,2025-11-24 20:43:16
13799,-27.7528,152.6509,,-40,140,-20,160,2025-11-24 20:43:16
12399,-23.5627,148.8807,35.0,-40,140,-20,160,2025-11-24 20:43:16
3236,-37.9135475,144.998,30.0,-40,140,-20,160,2025-11-24 20:43:16
13046,-36.7784,144.300064,8.0,-40,140,-20,160,2025-11-24 20:43:16
12390,-31.4837,145.8293,18.0,-40,140,-20,160,2025-11-24 20:43:16
10719,-32.2196,148.5777,7.0,-40,140,-20,160,2025-11-24 20:43:16
10726,-27.9612,153.4024,31.0,-40,140,-20,160,2025-11-24 20:43:16
12397,-30.8517,143.0742,10.0,-40,140,-20,160,2025-11-24 20:43:16
13772,-28.824444,153.256667,13.0,-40,140,-20,160,2025-11-24 20:43:16
13793,-32.27159,150.8859,13.0,-40,140,-20,160,2025-11-24 20:43:16
12392,-34.443,142.889,3.0,-40,140,-20,160,2025-11-24 20:43:16
13784,-33.107815,151.55256,15.0,-40,140,-20,160,2025-11-24 20:43:16
13776,-32.125777,150.459299,13.0,-40,140,-20,160,2025-11-24 20:43:16
5122,-23.8626,151.2705,55.0,-40,140,-20,160,2025-11-24 20:43:16
12492,-35.285307,149.131579,,-40,140,-20,160,2025-11-24 20:43:16
3273,-36.05182,146.9398,22.0,-40,140,-20,160,2025-11-24 20:43:16
13780,-37.82743,144.8801,42.0,-40,140,-20,160,2025-11-24 20:43:16
12919,-33.1277,148.2439,24.0,-40,140,-20,160,2025-11-24 20:43:16
10718,-30.50851,151.66173,4.0,-40,140,-20,160,2025-11-24 20:43:16
14897,-27.9535,153.3475,36.0,-40,140,-20,160,2025-11-24 20:43:16
12393,-33.491,145.5242,15.0,-40,140,-20,160,2025-11-24 20:43:16
12388,-30.0362,145.9521,12.0,-40,140,-20,160,2025-11-24 20:43:16
8009,-38.1864662,146.258331,13.0,-40,140,-20,160,2025-11-24 20:43:16
3247,-38.17356,144.3703,25.0,-40,140,-20,160,2025-11-24 20:43:16
12489,-35.220606,149.043539,,-40,140,-20,160,2025-11-24 20:43:16
3269,-32.79679,151.661,21.0,-40,140,-20,160,2025-11-24 20:43:16
12575,-33.27429,149.09447,44.0,-40,140,-20,160,2025-11-24 20:43:16
13795,-33.91618,151.0461,29.0,-40,140,-20,160,2025-11-24 20:43:16
13786,-35.6296,146.4752,2.0,-40,140,-20,160,2025-11-24 20:43:16
8519,-36.36926,146.3133,5.0,-40,140,-20,160,2025-11-24 20:43:16
12921,-34.4278,147.5117,16.0,-40,140,-20,160,2025-11-24 20:43:16
12385,-34.4684,141.5728,20.0,-40,140,-20,160,2025-11-24 20:43:16
12534,-30.29828,153.11811,17.0,-40,140,-20,160,2025-11-24 20:43:16
12387,-30.0359,148.1231,4.0,-40,140,-20,160,2025-11-24 20:43:16
3261,-34.06657,150.7952,26.0,-40,140,-20,160,2025-11-24 20:43:16
3263,-34.05169,150.498,9.0,-40,140,-20,160,2025-11-24 20:43:16
13777,-34.705,146.514,28.0,-40,140,-20,160,2025-11-24 20:43:16
12487,-32.472333,151.091803,15.0,-40,140,-20,160,2025-11-24 20:43:16
5113,-26.6917,153.1038,28.0,-40,140,-20,160,2025-11-24 20:43:16
13792,-33.6016,142.5308,10.0,-40,140,-20,160,2025-11-24 20:43:16
3249,-33.93177,151.2428,21.0,-40,140,-20,160,2025-11-24 20:43:16
3264,-34.41706,150.8873,8.0,-40,140,-20,160,2025-11-24 20:43:16
13775,-36.907778,149.898889,11.0,-40,140,-20,160,2025-11-24 20:43:16
12490,-35.418302,149.094018,,-40,140,-20,160,2025-11-24 20:43:16
11922,-33.682778,150.903611,16.0,-40,140,-20,160,2025-11-24 20:43:16
13768,-33.8447,148.65,7.0,-40,140,-20,160,2025-11-24 20:43:16
3237,-37.98576,145.1987,30.0,-40,140,-20,160,2025-11-24 20:43:16
3238,-37.7749672,145.3285,18.0,-40,140,-20,160,2025-11-24 20:43:16
4749,-38.2392921,146.3873,27.0,-40,140,-20,160,2025-11-24 20:43:16
12685,-38.15588,146.7842,10.0,-40,140,-20,160,2025-11-24 20:43:16
12485,-32.901973,151.784274,38.0,-40,140,-20,160,2025-11-24 20:43:16
13783,-27.3292,153.0478,21.0,-40,140,-20,160,2025-11-24 20:43:16
12538,-34.73452,149.72416,7.0,-40,140,-20,160,2025-11-24 20:43:16
3270,-33.27896,151.4324,7.0,-40,140,-20,160,2025-11-24 20:43:16
3272,-31.109909,150.91451,16.0,-40,140,-20,160,2025-11-24 20:43:16
13773,-33.9384,147.1965,23.0,-40,140,-20,160,2025-11-24 20:43:16
3243,-37.7064552,144.5669,22.0,-40,140,-20,160,2025-11-24 20:43:16
12398,-30.981667,150.260556,20.0,-40,140,-20,160,2025-11-24 20:43:16
5121,-24.0,151.0,41.0,-40,140,-20,160,2025-11-24 20:43:16
12391,-32.9786,141.489,10.0,-40,140,-20,160,2025-11-24 20:43:16
12394,-33.0548,144.154,24.0,-40,140,-20,160,2025-11-24 20:43:16
