uid,lat,lon,aqi,tile_lat1,tile_lon1,tile_lat2,tile_lon2,snapshot_utc
10700,-35.435141887663,-71.678261499336,25.0,-40,-80,-20,-60,2025-11-23 03:29:42
10695,-36.97743148785,-72.932017713268,55.0,-40,-80,-20,-60,2025-11-23 03:29:42
7923,-36.601713211434,-72.958522830688,53.0,-40,-80,-20,-60,2025-11-23 03:29:42
422,-34.974925077541,-71.233967512329,65.0,-40,-80,-20,-60,2025-11-23 03:29:42
4974,-33.049743798096,-71.614167231712,53.0,-40,-80,-20,-60,2025-11-23 03:29:42
14749,-37.267803138651,-72.710695266724,26.0,-40,-80,-20,-60,2025-11-23 03:29:42
436,-33.591390623022,-70.594788,72.0,-40,-80,-20,-60,2025-11-23 03:29:42
438,-33.349626928347,-70.723792612552,40.0,-40,-80,-20,-60,2025-11-23 03:29:42
14747,-32.748154,-71.474204,57.0,-40,-80,-20,-60,2025-11-23 03:29:42
14738,-31.889278312544,-70.629311769684,22.0,-40,-80,-20,-60,2025-11-23 03:29:42
14760,-22.085864134728,-70.188415616234,25.0,-40,-80,-20,-60,2025-11-23 03:29:42
14729,-35.969115075775,-72.316818237305,50.0,-40,-80,-20,-60,2025-11-23 03:29:42
12722,-20.19614,-40.24521,,-40,-60,-20,-40,2025-11-23 03:29:42
10703,-23.032350959,-45.575805025,65.0,-40,-60,-20,-40,2025-11-23 03:29:42
355,-23.549734045,-46.600416645,78.0,-40,-60,-20,-40,2025-11-23 03:29:42
350,-22.298619664,-48.567457405,28.0,-40,-60,-20,-40,2025-11-23 03:29:42
353,-22.199809487,-49.959969746,33.0,-40,-60,-20,-40,2025-11-23 03:29:42
374,-20.784689284,-49.398277793,34.0,-40,-60,-20,-40,2025-11-23 03:29:42
339,-23.879026731,-46.418483362,55.0,-40,-60,-20,-40,2025-11-23 03:29:42
356,-23.480098706,-46.692051922,91.0,-40,-60,-20,-40,2025-11-23 03:29:42
8112,-22.946728416,-47.119280862,57.0,-40,-60,-20,-40,2025-11-23 03:29:42
376,-23.502426584,-47.479029912,20.0,-40,-60,-20,-40,2025-11-23 03:29:42
332,-22.326608397,-49.092759305,59.0,-40,-60,-20,-40,2025-11-23 03:29:42
8515,-23.223645482,-45.890799996,59.0,-40,-60,-20,-40,2025-11-23 03:29:42
330,-21.1868411,-50.43931685,32.0,-40,-60,-20,-40,2025-11-23 03:29:42
8517,-22.874618945,-47.058972757,24.0,-40,-60,-20,-40,2025-11-23 03:29:42
363,-22.70122234,-47.64965269,25.0,-40,-60,-20,-40,2025-11-23 03:29:42
