global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
10490,45.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,20,,,,,,,,32.0,70.0,1007.0,1.0,26.0,,,2025-11-27 13:00:00,+08:00,1764248400,2025-11-27 06:17:30
13653,67.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,20,,,,,,,,32.0,70.0,1007.0,1.0,26.0,,,2025-11-27 13:00:00,+08:00,1764248400,2025-11-27 06:17:30
13650,19.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,38,pm25,38.0,24.0,3.0,,6.0,5.0,32.0,55.0,1008.0,4.6,22.0,,,2025-11-27 14:00:00,+08:00,1764252000,2025-11-27 06:17:32
11755,,2025-11-24 20:43:16,2589,"Port Dickson, Negeri Sembilan, Malaysia",https://aqicn.org/city/malaysia/negeri-sembilan/port-dickson,2.441383,101.866858,57,,,,,,,,30.5,64.0,1006.5,2.8,23.0,,,2025-11-27 13:00:00,+08:00,1764248400,2025-11-27 06:17:32
13651,89.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,20,,,,,,,,32.0,70.0,1007.0,1.0,26.0,,,2025-11-27 13:00:00,+08:00,1764248400,2025-11-27 06:17:33
13647,59.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,20,,,,,,,,32.0,70.0,1007.0,1.0,26.0,,,2025-11-27 13:00:00,+08:00,1764248400,2025-11-27 06:17:33
13841,31.0,2025-11-24 20:43:16,2606,"Tawau, Sabah, Malaysia",https://aqicn.org/city/malaysia/sabah/tawau,4.249786,117.935864,42,,,,,,,,30.0,79.0,1007.0,3.0,26.0,,,2025-11-27 14:00:00,+08:00,1764252000,2025-11-27 06:17:33
8294,25.0,2025-11-24 20:43:16,9495,"Pengerang, Johor, Malaysia",https://aqicn.org/city/malaysia/johor/pengerang,1.389489,104.149586,51,,,,,,,,31.2,70.5,1006.5,4.6,25.2,99.0,,2025-11-27 14:00:00,+08:00,1764252000,2025-11-27 06:17:33
13655,56.0,2025-11-24 20:43:16,2613,"Samarahan, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/samarahan,1.454853,110.491505,45,,,,,,,,32.0,64.0,1007.0,1.2,24.5,,,2025-11-27 14:00:00,+08:00,1764252000,2025-11-27 06:17:34
14903,79.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,38,pm25,38.0,24.0,3.0,,6.0,5.0,32.0,55.0,1008.0,4.6,22.0,,,2025-11-27 14:00:00,+08:00,1764252000,2025-11-27 06:17:35
13654,,2025-11-24 20:43:16,6442,Winnellie,https://aqicn.org/city/australia/northen/winnellie,-12.424323299931126,130.89335024356842,27,pm25,27.0,17.0,4.4,1.2,3.7,0.4,33.1,57.4,1004.1,10.274999999999999,23.7,12.8,,2025-11-27 15:00:00,+09:30,1764255600,2025-11-27 06:17:35
8289,85.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,38,pm25,38.0,24.0,3.0,,6.0,5.0,32.0,55.0,1008.0,4.6,22.0,,,2025-11-27 14:00:00,+08:00,1764252000,2025-11-27 06:17:35
13644,59.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,38,pm25,38.0,24.0,3.0,,6.0,5.0,32.0,55.0,1008.0,4.6,22.0,,,2025-11-27 14:00:00,+08:00,1764252000,2025-11-27 06:17:35
8292,14.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,20,,,,,,,,32.0,70.0,1007.0,1.0,26.0,,,2025-11-27 13:00:00,+08:00,1764248400,2025-11-27 06:17:36
1827,,2025-11-24 20:43:16,1827,"Municipal Health Center 1, Phuket, Thailand (ศูนย์บริการสาธารณสุข 1 กองการแพทย์ เทศบาลนครภูเก็ต)",https://aqicn.org/city/thailand/phuket/municipal-health-center-1,7.884488,98.391283,88,pm25,88.0,53.0,,2.4,0.6,,30.0,62.0,1010.0,3.0,22.0,,,2025-11-27 12:00:00,+07:00,1764244800,2025-11-27 06:17:36
8342,27.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,20,,,,,,,,32.0,70.0,1007.0,1.0,26.0,,,2025-11-27 13:00:00,+08:00,1764248400,2025-11-27 06:17:37
8293,90.0,2025-11-24 20:43:16,2606,"Tawau, Sabah, Malaysia",https://aqicn.org/city/malaysia/sabah/tawau,4.249786,117.935864,42,,,,,,,,30.0,79.0,1007.0,3.0,26.0,,,2025-11-27 14:00:00,+08:00,1764252000,2025-11-27 06:17:37
6818,87.0,2025-11-24 20:43:16,6818,"Regional Environmental Office 8, Thailand (สำนักงานสิ่งแวดล้อมภาคที่ 8 ราชบุรี)",https://aqicn.org/city/thailand/regional-environmental-office-8,13.5234,99.814082,89,pm25,89.0,25.0,11.5,2.9,0.6,0.1,26.0,45.5,1015.0,2.5,13.5,,,2025-11-27 12:00:00,+07:00,1764244800,2025-11-27 06:17:37
13645,23.0,2025-11-24 20:43:16,2609,"Kapit, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/kapit,2.014498,112.92736,18,,,,,,,,,,,,,,,2025-11-27 14:00:00,+08:00,1764252000,2025-11-27 06:17:38
9587,,2025-11-24 20:43:16,9587,"Chiangrai - Gaia Station 07, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-07,19.858547,99.90148,69,pm25,69.0,21.6,,,,,24.0,44.0,1021.0,6.6,11.0,,,2025-11-27 13:00:00,+07:00,1764248400,2025-11-27 06:17:39
1823,66.0,2025-11-24 20:43:16,1823,"Lampang Meteorological Station, Thailand (สถานีอุตุนิยมวิทยาลำปาง)",https://aqicn.org/city/thailand/lampang-meteorological-station,18.2783333,99.5064666,65,pm25,65.0,75.0,11.5,1.8,0.6,0.1,25.5,48.0,1015.4,4.0,,,,2025-11-27 12:00:00,+07:00,1764244800,2025-11-27 06:17:40
1828,60.0,2025-11-24 20:43:16,1828,"Natural Resources and Environment Office, Chiangrai, Thailand (สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดเชียงราย)",https://aqicn.org/city/thailand/chiangrai/natural-resources-and-environment-office,19.909217,99.823467,68,pm25,68.0,29.0,12.7,0.6,,0.1,22.2,60.5,985.8,3.0,,,,2025-11-27 12:00:00,+07:00,1764244800,2025-11-27 06:17:40
1868,79.0,2025-11-24 20:43:16,1868,"Provincial Administrative Stadium, Lamphun, Thailand (สนามกีฬาองค์การบริหารส่วนจังหวัดลำพูน)",https://aqicn.org/city/thailand/lamphun/provincial-administrative-stadium,18.567194,99.038639,82,pm25,82.0,82.0,14.6,7.5,0.6,,25.0,36.0,1019.5,6.6,9.0,,,2025-11-27 12:00:00,+07:00,1764244800,2025-11-27 06:17:40
