global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
13653,67.0,2025-11-24 20:43:16,13653,"Sleman, Indonesia",https://aqicn.org/city/indonesia/sleman,-7.731,110.354,108,pm25,108.0,,,,,,15.0,90.0,1014.0,1.0,,,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:04
10490,45.0,2025-11-24 20:43:16,10490,"Pangkalanbun, Indonesia",https://aqicn.org/city/indonesia/pangkalanbun,-2.676583,111.626448,276,pm25,276.0,,,,,,25.6,92.0,1008.9,3.6,24.2,,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:04
13650,19.0,2025-11-24 20:43:16,13650,"Pesawaran, Indonesia",https://aqicn.org/city/indonesia/pesawaran,-5.17,105.178,139,pm25,139.0,,,,,,26.4,85.6,1002.2,1.5,23.8,8.7,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:04
13841,31.0,2025-11-24 20:43:16,13841,"Maros, Indonesia",https://aqicn.org/city/indonesia/maros,-4.997,119.57,135,pm25,135.0,,,,,,25.0,73.0,1012.0,0.5,20.0,,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:04
11755,,2025-11-24 20:43:16,11755,"Kototabang, Indonesia",https://aqicn.org/city/indonesia/kototabang,-0.251,100.382,6,pm25,6.0,,,,,,26.7,91.0,1011.4,1.0,25.1,99.3,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:04
13647,59.0,2025-11-24 20:43:16,13647,"Malang, Indonesia",https://aqicn.org/city/indonesia/malang,-7.9551897,112.6119383,156,pm25,156.0,,,,,,26.0,88.0,1012.0,2.5,24.0,,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:04
13655,56.0,2025-11-24 20:43:16,13655,"Supadio, Indonesia",https://aqicn.org/city/indonesia/supadio,-0.14,109.45,272,pm25,272.0,,,,,,26.0,100.0,1010.0,1.0,26.0,,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:04
13651,89.0,2025-11-24 20:43:16,13651,"Semarang, Indonesia",https://aqicn.org/city/indonesia/semarang,-6.985,110.381,86,pm25,86.0,,,,,,27.2,78.0,1012.0,6.0,,,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:04
14903,79.0,2025-11-24 20:43:16,14903,"Talang Betutu Palembang, Indonesia",https://aqicn.org/city/indonesia/talang-betutu-palembang,-2.94,104.7,180,pm25,180.0,,,,,,26.0,88.0,1011.0,1.5,24.0,,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:05
8294,25.0,2025-11-24 20:43:16,8294,"Kemayoran, Indonesia",https://aqicn.org/city/indonesia/kemayoran,-6.155,106.846,65,pm25,65.0,,,,,,28.0,65.0,1012.5,2.3,21.0,,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:05
8289,85.0,2025-11-24 20:43:16,8289,"Jambi, Indonesia",https://aqicn.org/city/indonesia/jambi,-1.6318964,103.6414547,163,pm25,163.0,,,,,,27.4,85.2,1008.6,1.5,24.7,99.9,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:05
8342,27.0,2025-11-24 20:43:16,8342,"Palangka Raya, Indonesia",https://aqicn.org/city/indonesia/palangkaraya,-2.22611,113.945,524,pm25,524.0,,,,,,,,,,,,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:05
8293,90.0,2025-11-24 20:43:16,8293,"Samarinda, Indonesia",https://aqicn.org/city/indonesia/samarinda,-0.4825,117.1563,473,pm25,473.0,,,,,,28.0,83.0,1011.0,1.5,25.0,,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:05
13644,59.0,2025-11-24 20:43:16,13644,"Bengkulu, Indonesia",https://aqicn.org/city/indonesia/bengkulu,-3.865,102.312,146,pm25,146.0,,,,,,26.8,91.0,1009.4,1.5,25.2,3.3,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:05
8292,14.0,2025-11-24 20:43:16,8292,"Banjarbaru, Indonesia",https://aqicn.org/city/indonesia/banjarbaru,-3.475,114.856,122,pm25,122.0,,,,,,26.0,94.0,1011.0,1.0,25.0,,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:05
13645,23.0,2025-11-24 20:43:16,13645,"Kotabaru, Indonesia",https://aqicn.org/city/indonesia/kotabaru,-3.3,116.17,83,pm25,83.0,,,,,,26.5,89.3,1007.1,1.0,24.6,5.5,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:05
13654,,2025-11-24 20:43:16,13654,"Sorong, Indonesia",https://aqicn.org/city/indonesia/sorong,-0.8634105,131.2544805,126,pm25,126.0,,,,,,25.4,98.2,1012.2,0.5,25.1,,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:05
1827,,2025-11-24 20:43:16,13628,"Polytechnic College, Trang, Thailand (วิทยาลัยสารพัดช่างตรัง)",https://aqicn.org/city/thailand/trang/polytechnic-college,7.570238,99.588743,58,pm25,58.0,19.0,,0.6,0.6,0.1,24.0,100.0,1011.0,1.0,24.0,,,2026-09-26 03:00:00,+07:00,1790391600,2026-09-25 19:39:05
1868,79.0,2025-11-24 20:43:16,1868,"Provincial Administrative Stadium, Lamphun, Thailand (สนามกีฬาองค์การบริหารส่วนจังหวัดลำพูน)",https://aqicn.org/city/thailand/lamphun/provincial-administrative-stadium,18.567194,99.038639,60,pm25,60.0,27.0,14.6,7.5,0.6,,25.0,94.0,1010.0,1.5,24.0,,,2026-09-26 03:00:00,+07:00,1790391600,2026-09-25 19:39:05
6818,87.0,2025-11-24 20:43:16,12796,"Lat Yai,Mueang,Samut Songkhram, Thailand (ต.ลาดใหญ่ อ.เมือง จ.สมุทรสงคราม)",https://aqicn.org/city/thailand/samut-songkhram/mueang/lat-yai,13.428581,100.024664,21,pm10,18.0,21.0,10.7,4.1,0.6,0.1,-17.7,73.0,1004.5,2.3,,,,2026-09-26 03:00:00,+07:00,1790391600,2026-09-25 19:39:05
9587,,2025-11-24 20:43:16,9587,"Chiangrai - Gaia Station 07, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-07,19.858547,99.90148,41,pm25,40.8,9.1,,,,,25.0,94.0,1011.0,0.5,24.0,,,2026-09-26 02:00:00,+07:00,1790388000,2026-09-25 19:39:05
1823,66.0,2025-11-24 20:43:16,3686,"Provincial Waterworks Authority Mae Moh, Lampang, Thailand (การประปาส่วนภูมิภาคแม่เมาะ)",https://aqicn.org/city/thailand/lampang/provincial-waterworks-authority-mae-moh,18.2826333,99.6598166,52,pm25,52.0,69.0,14.6,1.8,0.6,0.1,24.4,95.0,1005.8,0.5,,,,2026-09-26 03:00:00,+07:00,1790391600,2026-09-25 19:39:05
1828,60.0,2025-11-24 20:43:16,1828,"Natural Resources and Environment Office, Chiangrai, Thailand (สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดเชียงราย)",https://aqicn.org/city/thailand/chiangrai/natural-resources-and-environment-office,19.909217,99.823467,50,pm25,50.0,21.0,12.7,0.6,,0.1,23.8,99.0,976.2,0.5,,,,2026-09-26 03:00:00,+07:00,1790391600,2026-09-25 19:39:05
8287,31.0,2025-11-24 20:43:16,8287,"Medan, Indonesia",https://aqicn.org/city/indonesia/medan,3.59,98.85,171,pm25,171.0,,,,,,26.0,94.0,1011.0,8.2,25.0,,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:05
2583,22.0,2025-11-24 20:43:16,2583,"Langkawi, Kedah, Malaysia",https://aqicn.org/city/malaysia/kedah/langkawi,6.331539,99.85846,44,,40.0,24.0,0.6,0.5,0.5,0.1,27.0,83.0,1010.0,1.0,24.0,,,2026-09-26 03:00:00,+08:00,1790391600,2026-09-25 19:39:06
13628,62.0,2025-11-24 20:43:16,13628,"Polytechnic College, Trang, Thailand (วิทยาลัยสารพัดช่างตรัง)",https://aqicn.org/city/thailand/trang/polytechnic-college,7.570238,99.588743,58,pm25,58.0,19.0,,0.6,0.6,0.1,24.0,100.0,1011.0,1.0,24.0,,,2026-09-26 03:00:00,+07:00,1790391600,2026-09-25 19:39:06
1829,14.0,2025-11-24 20:43:16,1829,"Natural Resources and Environment Office, Mae Hongson, Thailand (สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดแม่ฮ่องสอน)",https://aqicn.org/city/thailand/mae-hongson/natural-resources-and-environment-office,19.30455,97.97165,33,pm25,33.0,14.0,4.8,3.5,,0.1,27.0,78.0,1009.0,2.5,23.0,,,2026-09-26 03:00:00,+07:00,1790391600,2026-09-25 19:39:06
8646,25.0,2025-11-24 20:43:16,8287,"Medan, Indonesia",https://aqicn.org/city/indonesia/medan,3.59,98.85,171,pm25,171.0,,,,,,26.0,94.0,1011.0,8.2,25.0,,,2026-09-26 01:00:00,+07:00,1790384400,2026-09-25 19:39:06
13576,,2025-11-24 20:43:16,13576,"Prachuap Khiri Khan - Gaia Station 10, Thailand",https://aqicn.org/city/thailand/prachuap-khiri-khan/gaia-10,11.80027,99.790596,15,pm25,14.6,3.4,,,,,25.5,93.1,1008.5,2.0,24.3,0.8,,2026-09-26 02:00:00,+07:00,1790388000,2026-09-25 19:39:06
