global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
13647,59.0,2025-11-24 20:43:16,13647,"Malang, Indonesia",https://aqicn.org/city/indonesia/malang,-7.9551897,112.6119383,44,pm25,44.0,,,,,,27.2,74.2,1008.3,3.0,22.2,99.2,,2025-11-29 01:00:00,+07:00,1764378000,2025-11-28 20:11:29
13653,67.0,2025-11-24 20:43:16,13653,"Sleman, Indonesia",https://aqicn.org/city/indonesia/sleman,-7.731,110.354,94,pm25,94.0,,,,,,26.4,86.2,1008.4,1.0,23.9,0.6,,2025-11-29 01:00:00,+07:00,1764378000,2025-11-28 20:11:30
13841,31.0,2025-11-24 20:43:16,13841,"Maros, Indonesia",https://aqicn.org/city/indonesia/maros,-4.997,119.57,107,pm25,107.0,,,,,,26.8,85.2,1006.2,0.5,24.1,0.5,,2025-11-29 01:00:00,+07:00,1764378000,2025-11-28 20:11:30
13655,56.0,2025-11-24 20:43:16,13655,"Supadio, Indonesia",https://aqicn.org/city/indonesia/supadio,-0.14,109.45,56,pm25,56.0,,,,,,25.0,100.0,1008.0,1.5,25.0,,,2025-11-29 01:00:00,+07:00,1764378000,2025-11-28 20:11:31
13651,89.0,2025-11-24 20:43:16,13651,"Semarang, Indonesia",https://aqicn.org/city/indonesia/semarang,-6.985,110.381,94,pm25,94.0,,,,,,26.4,86.2,1008.4,1.0,23.9,0.6,,2025-11-29 01:00:00,+07:00,1764378000,2025-11-28 20:11:32
11755,,2025-11-24 20:43:16,8288,"Pekanbaru, Indonesia",https://aqicn.org/city/indonesia/pekanbaru,0.46667,101.4666,85,pm25,85.0,,,,,,24.0,94.0,1008.0,0.5,23.0,,,2025-11-29 01:00:00,+07:00,1764378000,2025-11-28 20:11:33
10490,45.0,2025-11-24 20:43:16,10490,"Pangkalanbun, Indonesia",https://aqicn.org/city/indonesia/pangkalanbun,-2.676583,111.626448,56,pm25,56.0,,,,,,24.5,97.0,1006.2,1.5,24.0,1.0,,2025-11-29 01:00:00,+07:00,1764378000,2025-11-28 20:11:33
13650,19.0,2025-11-24 20:43:16,13650,"Pesawaran, Indonesia",https://aqicn.org/city/indonesia/pesawaran,-5.17,105.178,15,pm25,15.0,,,,,,26.5,71.8,999.9,2.0,21.0,99.3,,2025-11-29 01:00:00,+07:00,1764378000,2025-11-28 20:11:33
14903,79.0,2025-11-24 20:43:16,14903,"Talang Betutu Palembang, Indonesia",https://aqicn.org/city/indonesia/talang-betutu-palembang,-2.94,104.7,79,pm25,79.0,,,,,,26.8,85.7,1007.8,0.5,24.2,99.0,,2025-11-29 01:00:00,+07:00,1764378000,2025-11-28 20:11:33
13644,59.0,2025-11-24 20:43:16,13644,"Bengkulu, Indonesia",https://aqicn.org/city/indonesia/bengkulu,-3.865,102.312,1,pm25,1.0,,,,,,25.5,91.4,1008.2,1.0,24.0,99.0,,2025-11-29 01:00:00,+07:00,1764378000,2025-11-28 20:11:33
