global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
13841,31.0,2025-11-24 20:43:16,13841,"Maros, Indonesia",https://aqicn.org/city/indonesia/maros,-4.997,119.57,41,pm25,41.0,,,,,,31.3,66.8,1008.5,2.0,24.4,0.3,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:44
13650,19.0,2025-11-24 20:43:16,13650,"Pesawaran, Indonesia",https://aqicn.org/city/indonesia/pesawaran,-5.17,105.178,58,pm25,58.0,,,,,,30.2,68.7,1001.7,2.5,23.8,2.8,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:44
13647,59.0,2025-11-24 20:43:16,13647,"Malang, Indonesia",https://aqicn.org/city/indonesia/malang,-7.9551897,112.6119383,15,pm25,15.0,,,,,,32.1,60.5,1010.9,6.1,23.5,3.6,,2026-02-03 11:00:00,+07:00,1770116400,2026-02-03 07:35:45
13655,56.0,2025-11-24 20:43:16,13655,"Supadio, Indonesia",https://aqicn.org/city/indonesia/supadio,-0.14,109.45,120,pm25,120.0,,,,,,31.2,66.8,1010.6,3.6,24.3,2.3,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:46
13651,89.0,2025-11-24 20:43:16,13651,"Semarang, Indonesia",https://aqicn.org/city/indonesia/semarang,-6.985,110.381,50,pm25,50.0,,,,,,30.4,72.5,1010.3,8.7,24.9,0.2,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:46
11755,,2025-11-24 20:43:16,11755,"Kototabang, Indonesia",https://aqicn.org/city/indonesia/kototabang,-0.251,100.382,44,pm25,44.0,,,,,,30.7,69.6,1011.1,3.0,24.5,0.3,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:48
13653,67.0,2025-11-24 20:43:16,13653,"Sleman, Indonesia",https://aqicn.org/city/indonesia/sleman,-7.731,110.354,39,pm25,39.0,,,,,,30.4,72.5,1010.3,8.7,24.9,0.2,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:48
8294,25.0,2025-11-24 20:43:16,8294,"Kemayoran, Indonesia",https://aqicn.org/city/indonesia/kemayoran,-6.155,106.846,45,pm25,45.0,,,,,,30.0,62.0,1011.0,4.1,22.0,,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:48
13644,59.0,2025-11-24 20:43:16,13644,"Bengkulu, Indonesia",https://aqicn.org/city/indonesia/bengkulu,-3.865,102.312,16,pm25,16.0,,,,,,31.4,66.5,1008.8,4.1,24.4,99.2,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:48
10490,45.0,2025-11-24 20:43:16,10490,"Pangkalanbun, Indonesia",https://aqicn.org/city/indonesia/pangkalanbun,-2.676583,111.626448,32,pm25,32.0,,,,,,31.2,66.4,1006.6,2.5,24.2,2.1,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:48
14903,79.0,2025-11-24 20:43:16,14903,"Talang Betutu Palembang, Indonesia",https://aqicn.org/city/indonesia/talang-betutu-palembang,-2.94,104.7,79,pm25,79.0,,,,,,29.4,70.6,1011.2,2.5,23.5,0.7,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:49
8289,85.0,2025-11-24 20:43:16,8289,"Jambi, Indonesia",https://aqicn.org/city/indonesia/jambi,-1.6318964,103.6414547,85,pm25,85.0,,,,,,25.0,90.3,1009.8,3.0,23.3,0.7,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:49
13645,23.0,2025-11-24 20:43:16,13645,"Kotabaru, Indonesia",https://aqicn.org/city/indonesia/kotabaru,-3.3,116.17,3,pm25,3.0,,,,,,26.5,89.3,1007.1,1.0,24.6,5.5,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:49
1868,79.0,2025-11-24 20:43:16,1868,"Provincial Administrative Stadium, Lamphun, Thailand (สนามกีฬาองค์การบริหารส่วนจังหวัดลำพูน)",https://aqicn.org/city/thailand/lamphun/provincial-administrative-stadium,18.567194,99.038639,63,pm25,63.0,37.0,6.7,7.5,0.6,,30.3,10.1,979.7,1.0,-4.6,,,2026-02-03 15:00:00,+07:00,1770130800,2026-02-03 07:35:50
6818,87.0,2025-11-24 20:43:16,6818,"Regional Environmental Office 8, Thailand (สำนักงานสิ่งแวดล้อมภาคที่ 8 ราชบุรี)",https://aqicn.org/city/thailand/regional-environmental-office-8,13.5234,99.814082,61,pm25,61.0,25.0,12.7,2.9,0.6,0.1,31.8,9.2,1010.7,5.1,-4.7,,,2026-02-03 15:00:00,+07:00,1770130800,2026-02-03 07:35:50
8292,14.0,2025-11-24 20:43:16,8292,"Banjarbaru, Indonesia",https://aqicn.org/city/indonesia/banjarbaru,-3.475,114.856,35,pm25,35.0,,,,,,29.0,79.0,1009.0,2.0,25.0,,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:51
8293,90.0,2025-11-24 20:43:16,8293,"Samarinda, Indonesia",https://aqicn.org/city/indonesia/samarinda,-0.4825,117.1563,48,pm25,48.0,,,,,,28.0,88.0,1009.0,4.6,26.0,,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:52
9587,,2025-11-24 20:43:16,9587,"Chiangrai - Gaia Station 07, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-07,19.858547,99.90148,69,pm25,69.0,21.0,,,,,27.0,47.0,1019.0,2.5,15.0,,,2026-02-03 14:00:00,+07:00,1770127200,2026-02-03 07:35:52
