global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
13655,56.0,2025-11-24 20:43:16,13655,"Supadio, Indonesia",https://aqicn.org/city/indonesia/supadio,-0.14,109.45,28,pm25,28.0,,,,,,32.0,66.0,1009.0,2.0,25.0,,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:48
13650,19.0,2025-11-24 20:43:16,13650,"Pesawaran, Indonesia",https://aqicn.org/city/indonesia/pesawaran,-5.17,105.178,31,pm25,31.0,,,,,,30.7,63.6,1000.2,2.5,23.0,1.6,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:48
13841,31.0,2025-11-24 20:43:16,13841,"Maros, Indonesia",https://aqicn.org/city/indonesia/maros,-4.997,119.57,50,pm25,50.0,,,,,,28.4,86.9,1008.3,1.5,26.0,99.4,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:50
10490,45.0,2025-11-24 20:43:16,10490,"Pangkalanbun, Indonesia",https://aqicn.org/city/indonesia/pangkalanbun,-2.676583,111.626448,25,pm25,25.0,,,,,,29.2,79.1,1006.2,2.5,25.2,0.2,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:50
13651,89.0,2025-11-24 20:43:16,13651,"Semarang, Indonesia",https://aqicn.org/city/indonesia/semarang,-6.985,110.381,61,pm25,61.0,,,,,,30.3,66.2,1009.2,8.2,23.3,99.4,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:50
8294,25.0,2025-11-24 20:43:16,8294,"Kemayoran, Indonesia",https://aqicn.org/city/indonesia/kemayoran,-6.155,106.846,47,pm25,47.0,,,,,,25.0,94.0,1010.0,2.5,24.0,,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:51
11755,,2025-11-24 20:43:16,11755,"Kototabang, Indonesia",https://aqicn.org/city/indonesia/kototabang,-0.251,100.382,34,pm25,34.0,,,,,,31.6,66.9,1010.3,3.6,24.7,0.3,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:52
13653,67.0,2025-11-24 20:43:16,13653,"Sleman, Indonesia",https://aqicn.org/city/indonesia/sleman,-7.731,110.354,29,pm25,29.0,,,,,,30.3,66.2,1009.2,8.2,23.3,99.4,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:53
13647,59.0,2025-11-24 20:43:16,13647,"Malang, Indonesia",https://aqicn.org/city/indonesia/malang,-7.9551897,112.6119383,43,pm25,43.0,,,,,,31.0,79.0,1007.0,7.2,27.0,,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:53
8292,14.0,2025-11-24 20:43:16,8292,"Banjarbaru, Indonesia",https://aqicn.org/city/indonesia/banjarbaru,-3.475,114.856,32,pm25,32.0,,,,,,30.0,74.0,1008.0,3.6,25.0,,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:53
14903,79.0,2025-11-24 20:43:16,14903,"Talang Betutu Palembang, Indonesia",https://aqicn.org/city/indonesia/talang-betutu-palembang,-2.94,104.7,71,pm25,71.0,,,,,,30.6,67.1,1009.4,3.0,23.8,99.0,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:53
8289,85.0,2025-11-24 20:43:16,8289,"Jambi, Indonesia",https://aqicn.org/city/indonesia/jambi,-1.6318964,103.6414547,79,pm25,79.0,,,,,,30.8,61.3,1008.1,3.0,22.5,99.0,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:53
1827,,2025-11-24 20:43:16,1827,"Municipal Health Center 1, Phuket, Thailand (ศูนย์บริการสาธารณสุข 1 กองการแพทย์ เทศบาลนครภูเก็ต)",https://aqicn.org/city/thailand/phuket/municipal-health-center-1,7.884488,98.391283,47,pm25,47.0,20.0,,2.4,0.6,,32.7,8.1,1011.5,1.0,-5.7,99.4,,2026-02-05 13:00:00,+07:00,1770296400,2026-02-05 07:42:55
13644,59.0,2025-11-24 20:43:16,13644,"Bengkulu, Indonesia",https://aqicn.org/city/indonesia/bengkulu,-3.865,102.312,16,pm25,16.0,,,,,,31.4,62.2,1009.4,4.1,23.3,0.1,,2026-02-05 13:00:00,+07:00,1770296400,2026-02-05 07:42:55
8293,90.0,2025-11-24 20:43:16,8293,"Samarinda, Indonesia",https://aqicn.org/city/indonesia/samarinda,-0.4825,117.1563,10,pm25,10.0,,,,,,30.0,74.0,1008.0,2.0,25.0,,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:55
9587,,2025-11-24 20:43:16,9587,"Chiangrai - Gaia Station 07, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-07,19.858547,99.90148,82,pm25,82.0,26.3,,,,,28.0,51.0,1015.0,2.5,17.0,,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:56
8342,27.0,2025-11-24 20:43:16,8292,"Banjarbaru, Indonesia",https://aqicn.org/city/indonesia/banjarbaru,-3.475,114.856,32,pm25,32.0,,,,,,30.0,74.0,1008.0,3.6,25.0,,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:56
1868,79.0,2025-11-24 20:43:16,1868,"Provincial Administrative Stadium, Lamphun, Thailand (สนามกีฬาองค์การบริหารส่วนจังหวัดลำพูน)",https://aqicn.org/city/thailand/lamphun/provincial-administrative-stadium,18.567194,99.038639,80,pm25,80.0,51.0,7.5,7.5,0.6,,31.0,37.0,1013.0,2.0,15.0,,,2026-02-05 15:00:00,+07:00,1770303600,2026-02-05 07:42:57
6818,87.0,2025-11-24 20:43:16,6818,"Regional Environmental Office 8, Thailand (สำนักงานสิ่งแวดล้อมภาคที่ 8 ราชบุรี)",https://aqicn.org/city/thailand/regional-environmental-office-8,13.5234,99.814082,89,pm25,89.0,25.0,21.3,2.9,0.6,0.1,35.7,7.8,1007.4,2.0,-3.9,,,2026-02-05 15:00:00,+07:00,1770303600,2026-02-05 07:42:57
13654,,2025-11-24 20:43:16,13654,"Sorong, Indonesia",https://aqicn.org/city/indonesia/sorong,-0.8634105,131.2544805,16,pm25,16.0,,,,,,29.0,74.5,1006.7,1.5,24.0,0.6,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:57
8287,31.0,2025-11-24 20:43:16,8287,"Medan, Indonesia",https://aqicn.org/city/indonesia/medan,3.59,98.85,103,pm25,103.0,,,,,,31.6,60.8,1010.5,3.6,23.1,4.4,,2026-02-05 14:00:00,+07:00,1770300000,2026-02-05 07:42:57
1823,66.0,2025-11-24 20:43:16,1823,"Lampang Meteorological Station, Thailand (สถานีอุตุนิยมวิทยาลำปาง)",https://aqicn.org/city/thailand/lampang-meteorological-station,18.2783333,99.5064666,70,pm25,70.0,75.0,11.5,1.8,0.6,0.1,31.7,42.2,985.8,1.0,17.3,,,2026-02-05 15:00:00,+07:00,1770303600,2026-02-05 07:42:58
