global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
13841,31.0,2025-11-24 20:43:16,2606,"Tawau, Sabah, Malaysia",https://aqicn.org/city/malaysia/sabah/tawau,4.249786,117.935864,39,,,,,,,,31.0,70.0,1008.0,2.5,25.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:36
13650,19.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,38,pm25,38.0,18.0,12.0,,2.0,4.0,33.0,46.0,1009.0,4.1,20.0,,,2026-04-06 15:00:00,+08:00,1775487600,2026-04-06 08:16:37
13647,59.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,29,,,,,,,,34.0,59.0,1006.0,1.5,25.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:38
10490,45.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,29,,,,,,,,34.0,59.0,1006.0,1.5,25.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:38
13655,56.0,2025-11-24 20:43:16,2613,"Samarahan, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/samarahan,1.454853,110.491505,42,,,,,,,,29.0,89.0,1008.0,1.0,27.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:38
13653,67.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,29,,,,,,,,34.0,59.0,1006.0,1.5,25.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:39
13651,89.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,29,,,,,,,,34.0,59.0,1006.0,1.5,25.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:39
8289,85.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,38,pm25,38.0,18.0,12.0,,2.0,4.0,33.0,46.0,1009.0,4.1,20.0,,,2026-04-06 15:00:00,+08:00,1775487600,2026-04-06 08:16:39
13644,59.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,38,pm25,38.0,18.0,12.0,,2.0,4.0,33.0,46.0,1009.0,4.1,20.0,,,2026-04-06 15:00:00,+08:00,1775487600,2026-04-06 08:16:39
8342,27.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,29,,,,,,,,34.0,59.0,1006.0,1.5,25.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:40
8293,90.0,2025-11-24 20:43:16,2606,"Tawau, Sabah, Malaysia",https://aqicn.org/city/malaysia/sabah/tawau,4.249786,117.935864,39,,,,,,,,31.0,70.0,1008.0,2.5,25.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:40
11755,,2025-11-24 20:43:16,2589,"Port Dickson, Negeri Sembilan, Malaysia",https://aqicn.org/city/malaysia/negeri-sembilan/port-dickson,2.441383,101.866858,53,,,,,,,,32.5,60.5,1008.0,2.3,24.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:40
14903,79.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,38,pm25,38.0,18.0,12.0,,2.0,4.0,33.0,46.0,1009.0,4.1,20.0,,,2026-04-06 15:00:00,+08:00,1775487600,2026-04-06 08:16:41
13654,,2025-11-24 20:43:16,6442,Winnellie,https://aqicn.org/city/australia/northen/winnellie,-12.424323299931126,130.89335024356842,10,pm25,10.0,3.0,5.9,0.4,0.1,3.6,30.7,80.2,1004.7,5.85,25.3,834.6,,2026-04-06 16:00:00,+09:30,1775491200,2026-04-06 08:16:41
8294,25.0,2025-11-24 20:43:16,9495,"Pengerang, Johor, Malaysia",https://aqicn.org/city/malaysia/johor/pengerang,1.389489,104.149586,53,,,,,,,,33.0,52.0,1008.0,5.6,22.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:41
8292,14.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,29,,,,,,,,34.0,59.0,1006.0,1.5,25.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:41
1823,66.0,2025-11-24 20:43:16,1823,"Lampang Meteorological Station, Thailand (สถานีอุตุนิยมวิทยาลำปาง)",https://aqicn.org/city/thailand/lampang-meteorological-station,18.2783333,99.5064666,168,pm25,168.0,75.0,11.5,1.8,0.6,0.1,35.0,55.0,1000.6,3.0,,,,2026-04-06 16:00:00,+07:00,1775491200,2026-04-06 08:16:43
1868,79.0,2025-11-24 20:43:16,1868,"Provincial Administrative Stadium, Lamphun, Thailand (สนามกีฬาองค์การบริหารส่วนจังหวัดลำพูน)",https://aqicn.org/city/thailand/lamphun/provincial-administrative-stadium,18.567194,99.038639,158,pm25,158.0,63.0,14.6,7.5,0.6,,35.5,42.5,1007.5,3.0,21.0,,,2026-04-06 15:00:00,+07:00,1775487600,2026-04-06 08:16:43
13645,23.0,2025-11-24 20:43:16,2609,"Kapit, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/kapit,2.014498,112.92736,25,,,,,,,,,,,,,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:44
6818,87.0,2025-11-24 20:43:16,6818,"Regional Environmental Office 8, Thailand (สำนักงานสิ่งแวดล้อมภาคที่ 8 ราชบุรี)",https://aqicn.org/city/thailand/regional-environmental-office-8,13.5234,99.814082,102,pm25,102.0,25.0,23.3,2.9,0.6,0.1,37.0,30.0,1006.0,2.0,17.0,,,2026-04-06 16:00:00,+07:00,1775491200,2026-04-06 08:16:44
1827,,2025-11-24 20:43:16,1827,"Municipal Health Center 1, Phuket, Thailand (ศูนย์บริการสาธารณสุข 1 กองการแพทย์ เทศบาลนครภูเก็ต)",https://aqicn.org/city/thailand/phuket/municipal-health-center-1,7.884488,98.391283,69,pm25,69.0,37.0,,4.1,0.6,,32.0,66.0,1009.0,5.6,25.0,,,2026-04-06 15:00:00,+07:00,1775487600,2026-04-06 08:16:45
8287,31.0,2025-11-24 20:43:16,2597,"Seri Manjung, Perak, Malaysia",https://aqicn.org/city/malaysia/perak/seri-manjung,4.200344,100.663358,61,,,,,,,,32.0,66.0,1008.0,3.0,25.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:45
9587,,2025-11-24 20:43:16,5776,Mueang Chiang Rai,https://aqicn.org/city/mueang-chiang-rai,19.9104798,99.840576,187,pm25,187.0,98.0,12.7,0.6,,0.1,36.9,47.5,971.6,2.5,,,,2026-04-06 16:00:00,+07:00,1775491200,2026-04-06 08:16:46
8646,25.0,2025-11-24 20:43:16,1827,"Municipal Health Center 1, Phuket, Thailand (ศูนย์บริการสาธารณสุข 1 กองการแพทย์ เทศบาลนครภูเก็ต)",https://aqicn.org/city/thailand/phuket/municipal-health-center-1,7.884488,98.391283,69,pm25,69.0,37.0,,4.1,0.6,,32.0,66.0,1009.0,5.6,25.0,,,2026-04-06 15:00:00,+07:00,1775487600,2026-04-06 08:16:46
13628,62.0,2025-11-24 20:43:16,13628,"Polytechnic College, Trang, Thailand (วิทยาลัยสารพัดช่างตรัง)",https://aqicn.org/city/thailand/trang/polytechnic-college,7.570238,99.588743,52,pm25,52.0,30.0,,0.6,0.6,0.1,34.0,52.0,1008.0,6.1,23.0,,,2026-04-06 16:00:00,+07:00,1775491200,2026-04-06 08:16:46
1828,60.0,2025-11-24 20:43:16,1828,"Natural Resources and Environment Office, Chiangrai, Thailand (สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดเชียงราย)",https://aqicn.org/city/thailand/chiangrai/natural-resources-and-environment-office,19.909217,99.823467,187,pm25,187.0,98.0,12.7,0.6,,0.1,36.9,47.5,971.6,0.1,,,,2026-04-06 16:00:00,+07:00,1775491200,2026-04-06 08:16:46
2583,22.0,2025-11-24 20:43:16,2583,"Langkawi, Kedah, Malaysia",https://aqicn.org/city/malaysia/kedah/langkawi,6.331539,99.85846,64,,,,,,,,30.0,74.0,1009.0,1.0,25.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:47
13576,,2025-11-24 20:43:16,5774,Rayong,https://aqicn.org/city/rayong,12.707434,101.1473517,103,pm25,103.0,30.0,16.6,11.0,2.2,0.1,32.0,70.0,1007.0,5.1,,,,2026-04-06 16:00:00,+07:00,1775491200,2026-04-06 08:16:47
8325,43.0,2025-11-24 20:43:16,8325,"Health Promotion Hospital Ta See, Lampang, Thailand (โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าสี ลำปาง)",https://aqicn.org/city/thailand/lampang/health-promotion-hospital-ta-see,18.4267833,99.7576333,165,pm25,165.0,12.0,0.8,1.2,0.6,0.1,35.0,55.0,1000.6,3.0,,,,2026-04-06 16:00:00,+07:00,1775491200,2026-04-06 08:16:47
1829,14.0,2025-11-24 20:43:16,1829,"Natural Resources and Environment Office, Mae Hongson, Thailand (สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดแม่ฮ่องสอน)",https://aqicn.org/city/thailand/mae-hongson/natural-resources-and-environment-office,19.30455,97.97165,181,pm25,181.0,92.0,4.8,3.5,,0.1,37.0,39.0,1006.0,2.0,21.0,,,2026-04-06 16:00:00,+07:00,1775491200,2026-04-06 08:16:48
8324,63.0,2025-11-24 20:43:16,8324,"Health Promotion Hospital Sob Pad, Lampang, Thailand (โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสบป้าด ลำปาง)",https://aqicn.org/city/thailand/lampang/health-promotion-hospital-sob-pad,18.2508166,99.76395,165,pm25,165.0,11.0,36.3,2.4,0.6,0.1,35.0,55.0,1000.6,3.0,,,,2026-04-06 16:00:00,+07:00,1775491200,2026-04-06 08:16:49
10481,79.0,2025-11-24 20:43:16,10481,"Pak Prak, Kanchanaburi, Kanchanaburi, Thailand (ต.ปากแพรก อ.เมือง จ.กาญจนบุรี)",https://aqicn.org/city/thailand/kanchanaburi/kanchanaburi/pak-prak,14.022376,99.536195,66,pm25,66.0,47.0,6.7,,,0.1,39.2,30.7,1004.5,3.6,18.8,,,2026-04-06 16:00:00,+07:00,1775491200,2026-04-06 08:16:49
1831,70.0,2025-11-24 20:43:16,1831,"Knowledge Park, Phayao, Thailand (อุทยานการเรียนรู้กว๊านพะเยา)",https://aqicn.org/city/thailand/phayao/knowledge-park,19.200226,99.893048,195,pm25,195.0,77.0,13.1,6.4,,0.1,36.6,49.0,972.7,0.1,,,,2026-04-06 15:00:00,+07:00,1775487600,2026-04-06 08:16:49
1822,55.0,2025-11-24 20:43:16,1822,"Yupparaj Wittayalai School, Chiangmai, Thailand (โรงเรียนยุพราชวิทยาลัย)",https://aqicn.org/city/thailand/chiangmai/yupparaj-wittayalai-school,18.7909333,98.99,153,pm25,153.0,82.0,14.6,7.5,0.6,,35.5,42.5,1007.5,3.0,21.0,,,2026-04-06 15:00:00,+07:00,1775487600,2026-04-06 08:16:49
1826,,2025-11-24 20:43:16,1826,"Regional Environmental Office 14, Surat Thani, Thailand (สำนักงานสิ่งแวดล้อมภาคที่ 14)",https://aqicn.org/city/thailand/surat-thani/regional-environmental-office-14,9.126017,99.325145,68,pm25,68.0,48.0,4.4,,0.6,0.1,37.2,78.6,1008.7,2.0,,,,2026-04-06 15:00:00,+07:00,1775487600,2026-04-06 08:16:50
9013,65.0,2025-11-24 20:43:16,9013,"Mae Pa,Mae Sot,Tak, Thailand (ต.แม่ปะ อ.แม่สอด จ.ตาก)",https://aqicn.org/city/thailand/tak/mae-sot/mae-pa,16.734413,98.566961,157,pm25,157.0,79.0,4.8,12.1,,0.1,35.0,39.0,1008.0,3.0,19.0,,,2026-04-06 15:00:00,+07:00,1775487600,2026-04-06 08:16:51
2597,27.0,2025-11-24 20:43:16,2597,"Seri Manjung, Perak, Malaysia",https://aqicn.org/city/malaysia/perak/seri-manjung,4.200344,100.663358,61,,,,,,,,32.0,66.0,1008.0,3.0,25.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:51
2600,26.0,2025-11-24 20:43:16,2600,"Perai, Pulau Pinang, Malaysia",https://aqicn.org/city/malaysia/pulau-pinang/perai,5.329358,100.443475,70,,,,,,,,32.0,62.0,1008.0,3.0,24.0,,,2026-04-06 16:00:00,+08:00,1775491200,2026-04-06 08:16:51
13629,,2025-11-24 20:43:16,13629,"Elderly Health Rehabilitation Center, Thailand (ศูนย์ฟื้นฟูสุขภาพผู้สูงอายุ)",https://aqicn.org/city/thailand/elderly-health-rehabilitation-center,8.426923,99.961469,69,pm25,69.0,40.0,,1.8,,,33.0,66.0,1008.0,5.6,26.0,,,2026-04-06 15:00:00,+07:00,1775487600,2026-04-06 08:16:51
