global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
13647,59.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,52,,86.0,28.0,,,,,28.0,88.0,1008.0,1.5,26.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:04
13655,56.0,2025-11-24 20:43:16,2613,"Samarahan, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/samarahan,1.454853,110.491505,52,,67.0,31.0,,,,,29.0,81.0,1009.5,0.2,25.5,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:04
13651,89.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,52,,86.0,28.0,,,,,28.0,88.0,1008.0,1.5,26.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:04
10490,45.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,52,,86.0,28.0,,,,,28.0,88.0,1008.0,1.5,26.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:04
11755,,2025-11-24 20:43:16,2589,"Port Dickson, Negeri Sembilan, Malaysia",https://aqicn.org/city/malaysia/negeri-sembilan/port-dickson,2.441383,101.866858,25,,40.0,16.0,5.7,3.0,0.3,0.1,27.0,83.0,1010.0,1.5,24.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:04
13653,67.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,52,,86.0,28.0,,,,,28.0,88.0,1008.0,1.5,26.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:04
13841,31.0,2025-11-24 20:43:16,2606,"Tawau, Sabah, Malaysia",https://aqicn.org/city/malaysia/sabah/tawau,4.249786,117.935864,48,,50.0,25.0,1.8,6.5,0.7,0.1,27.0,88.0,1010.0,1.0,25.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:04
13650,19.0,2025-11-24 20:43:16,9495,"Pengerang, Johor, Malaysia",https://aqicn.org/city/malaysia/johor/pengerang,1.389489,104.149586,38,,41.0,14.0,,3.3,0.3,,28.0,83.0,1011.0,1.5,25.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:04
14903,79.0,2025-11-24 20:43:16,9495,"Pengerang, Johor, Malaysia",https://aqicn.org/city/malaysia/johor/pengerang,1.389489,104.149586,38,,41.0,14.0,,3.3,0.3,,28.0,83.0,1011.0,1.5,25.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:05
8294,25.0,2025-11-24 20:43:16,9495,"Pengerang, Johor, Malaysia",https://aqicn.org/city/malaysia/johor/pengerang,1.389489,104.149586,38,,41.0,14.0,,3.3,0.3,,28.0,83.0,1011.0,1.5,25.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:05
8289,85.0,2025-11-24 20:43:16,9495,"Pengerang, Johor, Malaysia",https://aqicn.org/city/malaysia/johor/pengerang,1.389489,104.149586,38,,41.0,14.0,,3.3,0.3,,28.0,83.0,1011.0,1.5,25.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:05
13644,59.0,2025-11-24 20:43:16,2578,"Larkin Lama, Johor, Malaysia",https://aqicn.org/city/malaysia/johor/larkin-lama,1.494625,103.735975,55,,49.0,21.0,3.3,7.0,1.6,0.1,25.0,94.0,1011.0,0.5,24.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:05
8292,14.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,52,,86.0,28.0,,,,,28.0,88.0,1008.0,1.5,26.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:05
13645,23.0,2025-11-24 20:43:16,2609,"Kapit, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/kapit,2.014498,112.92736,24,,20.0,17.0,,,,,,,,,,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:05
8293,90.0,2025-11-24 20:43:16,2606,"Tawau, Sabah, Malaysia",https://aqicn.org/city/malaysia/sabah/tawau,4.249786,117.935864,48,,50.0,25.0,1.8,6.5,0.7,0.1,27.0,88.0,1010.0,1.0,25.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:05
8342,27.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,52,,86.0,28.0,,,,,28.0,88.0,1008.0,1.5,26.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:05
1827,,2025-11-24 20:43:16,2583,"Langkawi, Kedah, Malaysia",https://aqicn.org/city/malaysia/kedah/langkawi,6.331539,99.85846,15,,21.0,18.0,1.2,1.9,0.7,0.1,26.0,94.0,1009.0,1.5,25.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:05
13654,,2025-11-24 20:43:16,2606,"Tawau, Sabah, Malaysia",https://aqicn.org/city/malaysia/sabah/tawau,4.249786,117.935864,48,,50.0,25.0,1.8,6.5,0.7,0.1,27.0,88.0,1010.0,1.0,25.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:05
1868,79.0,2025-11-24 20:43:16,9587,"Chiangrai - Gaia Station 07, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-07,19.858547,99.90148,17,pm25,16.8,4.2,,,,,26.0,83.0,1008.0,2.5,23.0,,,2026-06-26 07:00:00,+07:00,1782457200,2026-06-26 02:04:05
6818,87.0,2025-11-24 20:43:16,13632,"Trat Provincial Central Stadium, Thailand (สนามกีฬากลางจังหวัดตราด)",https://aqicn.org/city/thailand/trat-provincial-central-stadium,12.234862,102.523721,31,pm25,31.0,40.0,2.4,0.6,0.6,0.1,29.0,83.0,1007.0,2.0,26.0,,,2026-06-26 02:00:00,+07:00,1782439200,2026-06-26 02:04:05
1823,66.0,2025-11-24 20:43:16,9450,"Chiangrai - Gaia Station 01, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-01,19.687157,100.19024,9,pm25,8.5,2.1,,,,,26.0,83.0,1008.0,2.5,23.0,,,2026-06-26 07:00:00,+07:00,1782457200,2026-06-26 02:04:05
9587,,2025-11-24 20:43:16,9587,"Chiangrai - Gaia Station 07, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-07,19.858547,99.90148,17,pm25,16.8,4.2,,,,,26.0,83.0,1008.0,2.5,23.0,,,2026-06-26 07:00:00,+07:00,1782457200,2026-06-26 02:04:05
1828,60.0,2025-11-24 20:43:16,9587,"Chiangrai - Gaia Station 07, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-07,19.858547,99.90148,17,pm25,16.8,4.2,,,,,26.0,83.0,1008.0,2.5,23.0,,,2026-06-26 07:00:00,+07:00,1782457200,2026-06-26 02:04:05
8287,31.0,2025-11-24 20:43:16,2597,"Seri Manjung, Perak, Malaysia",https://aqicn.org/city/malaysia/perak/seri-manjung,4.200344,100.663358,37,,65.0,23.0,,,,,28.0,83.0,1009.0,1.5,25.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:05
2583,22.0,2025-11-24 20:43:16,2583,"Langkawi, Kedah, Malaysia",https://aqicn.org/city/malaysia/kedah/langkawi,6.331539,99.85846,15,,21.0,18.0,1.2,1.9,0.7,0.1,26.0,94.0,1009.0,1.5,25.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:05
13628,62.0,2025-11-24 20:43:16,2583,"Langkawi, Kedah, Malaysia",https://aqicn.org/city/malaysia/kedah/langkawi,6.331539,99.85846,15,,21.0,18.0,1.2,1.9,0.7,0.1,26.0,94.0,1009.0,1.5,25.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:05
1829,14.0,2025-11-24 20:43:16,9587,"Chiangrai - Gaia Station 07, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-07,19.858547,99.90148,17,pm25,16.8,4.2,,,,,26.0,83.0,1008.0,2.5,23.0,,,2026-06-26 07:00:00,+07:00,1782457200,2026-06-26 02:04:05
8646,25.0,2025-11-24 20:43:16,2583,"Langkawi, Kedah, Malaysia",https://aqicn.org/city/malaysia/kedah/langkawi,6.331539,99.85846,15,,21.0,18.0,1.2,1.9,0.7,0.1,26.0,94.0,1009.0,1.5,25.0,,,2026-06-25 21:00:00,+08:00,1782421200,2026-06-26 02:04:05
13576,,2025-11-24 20:43:16,13632,"Trat Provincial Central Stadium, Thailand (สนามกีฬากลางจังหวัดตราด)",https://aqicn.org/city/thailand/trat-provincial-central-stadium,12.234862,102.523721,31,pm25,31.0,40.0,2.4,0.6,0.6,0.1,29.0,83.0,1007.0,2.0,26.0,,,2026-06-26 02:00:00,+07:00,1782439200,2026-06-26 02:04:06
1831,70.0,2025-11-24 20:43:16,9450,"Chiangrai - Gaia Station 01, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-01,19.687157,100.19024,9,pm25,8.5,2.1,,,,,26.0,83.0,1008.0,2.5,23.0,,,2026-06-26 07:00:00,+07:00,1782457200,2026-06-26 02:04:06
10481,79.0,2025-11-24 20:43:16,13632,"Trat Provincial Central Stadium, Thailand (สนามกีฬากลางจังหวัดตราด)",https://aqicn.org/city/thailand/trat-provincial-central-stadium,12.234862,102.523721,31,pm25,31.0,40.0,2.4,0.6,0.6,0.1,29.0,83.0,1007.0,2.0,26.0,,,2026-06-26 02:00:00,+07:00,1782439200,2026-06-26 02:04:06
9013,65.0,2025-11-24 20:43:16,9450,"Chiangrai - Gaia Station 01, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-01,19.687157,100.19024,9,pm25,8.5,2.1,,,,,26.0,83.0,1008.0,2.5,23.0,,,2026-06-26 07:00:00,+07:00,1782457200,2026-06-26 02:04:06
8325,43.0,2025-11-24 20:43:16,9450,"Chiangrai - Gaia Station 01, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-01,19.687157,100.19024,9,pm25,8.5,2.1,,,,,26.0,83.0,1008.0,2.5,23.0,,,2026-06-26 07:00:00,+07:00,1782457200,2026-06-26 02:04:06
13629,,2025-11-24 20:43:16,2599,"Kangar, Perlis, Malaysia",https://aqicn.org/city/malaysia/perlis/kangar,6.429922,100.211069,22,,32.0,14.0,4.9,3.1,0.7,0.1,25.0,94.0,1011.0,0.5,24.0,,,2026-06-25 22:00:00,+08:00,1782424800,2026-06-26 02:04:06
8324,63.0,2025-11-24 20:43:16,9450,"Chiangrai - Gaia Station 01, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-01,19.687157,100.19024,9,pm25,8.5,2.1,,,,,26.0,83.0,1008.0,2.5,23.0,,,2026-06-26 07:00:00,+07:00,1782457200,2026-06-26 02:04:06
1826,,2025-11-24 20:43:16,2599,"Kangar, Perlis, Malaysia",https://aqicn.org/city/malaysia/perlis/kangar,6.429922,100.211069,22,,32.0,14.0,4.9,3.1,0.7,0.1,25.0,94.0,1011.0,0.5,24.0,,,2026-06-25 22:00:00,+08:00,1782424800,2026-06-26 02:04:06
1822,55.0,2025-11-24 20:43:16,9587,"Chiangrai - Gaia Station 07, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-07,19.858547,99.90148,17,pm25,16.8,4.2,,,,,26.0,83.0,1008.0,2.5,23.0,,,2026-06-26 07:00:00,+07:00,1782457200,2026-06-26 02:04:06
