global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
13841,31.0,2025-11-24 20:43:16,2606,"Tawau, Sabah, Malaysia",https://aqicn.org/city/malaysia/sabah/tawau,4.249786,117.935864,36,,,,,,,,27.0,83.0,1010.0,0.5,24.0,,,2025-12-17 09:00:00,+08:00,1765962000,2025-12-17 02:31:14
13650,19.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,25,pm25,25.0,13.0,2.0,,1.0,4.0,25.0,94.0,1012.0,1.0,24.0,,,2025-12-17 10:00:00,+08:00,1765965600,2025-12-17 02:31:14
11755,,2025-11-24 20:43:16,2589,"Port Dickson, Negeri Sembilan, Malaysia",https://aqicn.org/city/malaysia/negeri-sembilan/port-dickson,2.441383,101.866858,37,,,,,,,,25.0,91.0,1011.0,1.2,23.5,,,2025-12-17 10:00:00,+08:00,1765965600,2025-12-17 02:31:15
13655,56.0,2025-11-24 20:43:16,2613,"Samarahan, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/samarahan,1.454853,110.491505,39,,,,,,,,27.5,80.5,1010.0,1.2,24.0,,,2025-12-17 09:00:00,+08:00,1765962000,2025-12-17 02:31:15
13647,59.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,19,,,,,,,,27.0,83.0,1010.0,1.0,24.0,,,2025-12-17 09:00:00,+08:00,1765962000,2025-12-17 02:31:15
14903,79.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,25,pm25,25.0,13.0,2.0,,1.0,4.0,25.0,94.0,1012.0,1.0,24.0,,,2025-12-17 10:00:00,+08:00,1765965600,2025-12-17 02:31:16
10490,45.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,19,,,,,,,,27.0,83.0,1010.0,1.0,24.0,,,2025-12-17 09:00:00,+08:00,1765962000,2025-12-17 02:31:16
13653,67.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,19,,,,,,,,27.0,83.0,1010.0,1.0,24.0,,,2025-12-17 09:00:00,+08:00,1765962000,2025-12-17 02:31:16
13651,89.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,19,,,,,,,,27.0,83.0,1010.0,1.0,24.0,,,2025-12-17 09:00:00,+08:00,1765962000,2025-12-17 02:31:16
13644,59.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,25,pm25,25.0,13.0,2.0,,1.0,4.0,25.0,94.0,1012.0,1.0,24.0,,,2025-12-17 10:00:00,+08:00,1765965600,2025-12-17 02:31:17
13654,,2025-11-24 20:43:16,6442,Winnellie,https://aqicn.org/city/australia/northen/winnellie,-12.424323299931126,130.89335024356842,21,pm25,21.0,6.0,15.8,1.4,2.1,1.7,31.4,65.3,1004.2,1.475,24.5,148.2,,2025-12-17 11:00:00,+09:30,1765969200,2025-12-17 02:31:18
8342,27.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,19,,,,,,,,27.0,83.0,1010.0,1.0,24.0,,,2025-12-17 09:00:00,+08:00,1765962000,2025-12-17 02:31:18
8294,25.0,2025-11-24 20:43:16,9495,"Pengerang, Johor, Malaysia",https://aqicn.org/city/malaysia/johor/pengerang,1.389489,104.149586,16,,,,,,,,25.0,94.0,1011.0,1.5,24.0,,,2025-12-17 10:00:00,+08:00,1765965600,2025-12-17 02:31:19
13645,23.0,2025-11-24 20:43:16,2609,"Kapit, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/kapit,2.014498,112.92736,23,,,,,,,,,,,,,,,2025-12-17 03:00:00,+08:00,1765940400,2025-12-17 02:31:19
8292,14.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,19,,,,,,,,27.0,83.0,1010.0,1.0,24.0,,,2025-12-17 09:00:00,+08:00,1765962000,2025-12-17 02:31:19
8293,90.0,2025-11-24 20:43:16,2606,"Tawau, Sabah, Malaysia",https://aqicn.org/city/malaysia/sabah/tawau,4.249786,117.935864,36,,,,,,,,27.0,83.0,1010.0,0.5,24.0,,,2025-12-17 09:00:00,+08:00,1765962000,2025-12-17 02:31:19
1827,,2025-11-24 20:43:16,1827,"Municipal Health Center 1, Phuket, Thailand (ศูนย์บริการสาธารณสุข 1 กองการแพทย์ เทศบาลนครภูเก็ต)",https://aqicn.org/city/thailand/phuket/municipal-health-center-1,7.884488,98.391283,50,pm25,50.0,20.0,,1.8,0.6,,29.2,9.0,1011.2,1.0,-7.0,99.0,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:20
8289,85.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,25,pm25,25.0,13.0,2.0,,1.0,4.0,25.0,94.0,1012.0,1.0,24.0,,,2025-12-17 10:00:00,+08:00,1765965600,2025-12-17 02:31:20
1828,60.0,2025-11-24 20:43:16,1828,"Natural Resources and Environment Office, Chiangrai, Thailand (สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดเชียงราย)",https://aqicn.org/city/thailand/chiangrai/natural-resources-and-environment-office,19.909217,99.823467,80,pm25,80.0,39.0,12.7,0.6,,0.1,20.2,97.3,984.2,0.5,,,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:21
1823,66.0,2025-11-24 20:43:16,1823,"Lampang Meteorological Station, Thailand (สถานีอุตุนิยมวิทยาลำปาง)",https://aqicn.org/city/thailand/lampang-meteorological-station,18.2783333,99.5064666,59,pm25,59.0,75.0,11.5,1.8,0.6,0.1,19.3,98.8,985.8,0.5,18.9,99.8,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:21
6818,87.0,2025-11-24 20:43:16,6818,"Regional Environmental Office 8, Thailand (สำนักงานสิ่งแวดล้อมภาคที่ 8 ราชบุรี)",https://aqicn.org/city/thailand/regional-environmental-office-8,13.5234,99.814082,83,pm25,83.0,25.0,2.8,2.9,0.6,0.1,25.6,11.0,1010.5,3.6,-7.1,99.9,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:21
9587,,2025-11-24 20:43:16,9587,"Chiangrai - Gaia Station 07, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-07,19.858547,99.90148,79,pm25,79.0,24.8,,,,,20.0,93.0,1018.0,0.5,19.0,,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:21
1868,79.0,2025-11-24 20:43:16,1868,"Provincial Administrative Stadium, Lamphun, Thailand (สนามกีฬาองค์การบริหารส่วนจังหวัดลำพูน)",https://aqicn.org/city/thailand/lamphun/provincial-administrative-stadium,18.567194,99.038639,101,pm25,101.0,82.0,14.6,7.5,0.6,,22.2,11.7,980.7,0.5,-8.9,0.4,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:22
1831,70.0,2025-11-24 20:43:16,1831,"Knowledge Park, Phayao, Thailand (อุทยานการเรียนรู้กว๊านพะเยา)",https://aqicn.org/city/thailand/phayao/knowledge-park,19.200226,99.893048,60,pm25,60.0,77.0,13.1,6.4,,0.1,18.3,95.1,969.2,0.5,17.6,99.3,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:23
13628,62.0,2025-11-24 20:43:16,13628,"Polytechnic College, Trang, Thailand (วิทยาลัยสารพัดช่างตรัง)",https://aqicn.org/city/thailand/trang/polytechnic-college,7.570238,99.588743,25,pm25,25.0,12.0,,2.9,0.6,0.1,26.6,9.5,1009.4,1.0,-8.2,0.7,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:23
13576,,2025-11-24 20:43:16,13576,"Prachuap Khiri Khan - Gaia Station 10, Thailand",https://aqicn.org/city/thailand/prachuap-khiri-khan/gaia-10,11.80027,99.790596,64,pm25,64.0,20.1,,,,,24.2,11.0,1002.2,4.6,-8.1,99.4,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:23
10481,79.0,2025-11-24 20:43:16,10481,"Pak Prak, Kanchanaburi, Kanchanaburi, Thailand (ต.ปากแพรก อ.เมือง จ.กาญจนบุรี)",https://aqicn.org/city/thailand/kanchanaburi/kanchanaburi/pak-prak,14.022376,99.536195,70,pm25,70.0,47.0,6.7,,,0.1,24.1,11.5,1011.6,1.0,-7.7,0.2,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:23
8287,31.0,2025-11-24 20:43:16,2597,"Seri Manjung, Perak, Malaysia",https://aqicn.org/city/malaysia/perak/seri-manjung,4.200344,100.663358,39,,,,,,,,25.0,94.0,1011.0,1.0,24.0,,,2025-12-17 10:00:00,+08:00,1765965600,2025-12-17 02:31:23
1829,14.0,2025-11-24 20:43:16,1829,"Natural Resources and Environment Office, Mae Hongson, Thailand (สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดแม่ฮ่องสอน)",https://aqicn.org/city/thailand/mae-hongson/natural-resources-and-environment-office,19.30455,97.97165,22,pm25,22.0,19.0,4.8,3.5,,0.1,17.1,95.7,985.5,1.0,16.3,,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:24
2583,22.0,2025-11-24 20:43:16,2583,"Langkawi, Kedah, Malaysia",https://aqicn.org/city/malaysia/kedah/langkawi,6.331539,99.85846,47,,,,,,,,27.0,78.0,1011.0,2.0,23.0,,,2025-12-17 09:00:00,+08:00,1765962000,2025-12-17 02:31:24
2597,27.0,2025-11-24 20:43:16,2597,"Seri Manjung, Perak, Malaysia",https://aqicn.org/city/malaysia/perak/seri-manjung,4.200344,100.663358,39,,,,,,,,25.0,94.0,1011.0,1.0,24.0,,,2025-12-17 10:00:00,+08:00,1765965600,2025-12-17 02:31:25
8325,43.0,2025-11-24 20:43:16,8325,"Health Promotion Hospital Ta See, Lampang, Thailand (โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าสี ลำปาง)",https://aqicn.org/city/thailand/lampang/health-promotion-hospital-ta-see,18.4267833,99.7576333,56,pm25,56.0,12.0,0.8,1.2,0.6,0.1,20.8,98.8,986.4,0.5,18.9,99.8,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:26
2600,26.0,2025-11-24 20:43:16,2600,"Perai, Pulau Pinang, Malaysia",https://aqicn.org/city/malaysia/pulau-pinang/perai,5.329358,100.443475,57,,,,,,,,25.0,83.0,1011.0,2.0,22.0,,,2025-12-17 07:00:00,+08:00,1765954800,2025-12-17 02:31:26
1826,,2025-11-24 20:43:16,1826,"Regional Environmental Office 14, Surat Thani, Thailand (สำนักงานสิ่งแวดล้อมภาคที่ 14)",https://aqicn.org/city/thailand/surat-thani/regional-environmental-office-14,9.126017,99.325145,48,pm25,48.0,48.0,4.4,,0.6,0.1,27.0,,1014.9,2.0,,,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:26
8646,25.0,2025-11-24 20:43:16,1827,"Municipal Health Center 1, Phuket, Thailand (ศูนย์บริการสาธารณสุข 1 กองการแพทย์ เทศบาลนครภูเก็ต)",https://aqicn.org/city/thailand/phuket/municipal-health-center-1,7.884488,98.391283,50,pm25,50.0,20.0,,1.8,0.6,,29.2,9.0,1011.2,1.0,-7.0,99.0,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:26
5191,55.0,2025-11-24 20:43:16,5191,Wuzhishan (五指山),https://aqicn.org/city/wuzhishan,18.775147,109.516925,25,pm25,25.0,14.0,11.0,3.7,2.1,4.4,27.0,57.0,1018.0,4.6,,,,2025-12-17 09:00:00,+08:00,1765962000,2025-12-17 02:31:27
9013,65.0,2025-11-24 20:43:16,9013,"Mae Pa,Mae Sot,Tak, Thailand (ต.แม่ปะ อ.แม่สอด จ.ตาก)",https://aqicn.org/city/thailand/tak/mae-sot/mae-pa,16.734413,98.566961,64,pm25,64.0,79.0,4.8,12.1,,0.1,22.0,95.2,988.7,0.5,19.2,99.4,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:27
13629,,2025-11-24 20:43:16,13629,"Elderly Health Rehabilitation Center, Thailand (ศูนย์ฟื้นฟูสุขภาพผู้สูงอายุ)",https://aqicn.org/city/thailand/elderly-health-rehabilitation-center,8.426923,99.961469,48,pm25,48.0,22.0,,5.2,,0.1,27.3,8.6,1010.9,2.5,-9.0,99.9,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:27
1822,55.0,2025-11-24 20:43:16,1822,"Yupparaj Wittayalai School, Chiangmai, Thailand (โรงเรียนยุพราชวิทยาลัย)",https://aqicn.org/city/thailand/chiangmai/yupparaj-wittayalai-school,18.7909333,98.99,61,pm25,61.0,82.0,14.6,7.5,0.6,,20.2,96.3,978.1,0.5,19.2,,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:27
12797,111.0,2025-11-24 20:43:16,12797,"Nai Mueang,Mueang,Ubon Ratchathani , Thailand (ต.ในเมือง อ.เมือง จ.อุบลราชธานี)",https://aqicn.org/city/thailand/ubon-ratchathani/mueang/nai-mueang,15.245413,104.846219,35,pm25,35.0,18.0,9.5,4.1,0.6,0.1,26.0,69.0,1016.0,4.1,20.0,,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:28
1852,,2025-11-24 20:43:16,10482,"Phiman, Satun, Satun, Thailand (ต.พิมาน อ.เมือง จ.สตูล)",https://aqicn.org/city/thailand/satun/satun/phiman,6.624747,100.066159,49,pm25,49.0,21.0,6.4,1.8,0.6,0.1,27.2,92.5,1008.7,0.5,23.6,99.5,,2025-12-17 09:00:00,+07:00,1765962000,2025-12-17 02:31:28
