global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
13651,89.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,23,,,,,,,,29.0,88.0,1006.0,1.0,27.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:28
11755,,2025-11-24 20:43:16,2589,"Port Dickson, Negeri Sembilan, Malaysia",https://aqicn.org/city/malaysia/negeri-sembilan/port-dickson,2.441383,101.866858,54,,,,,,,,24.5,97.0,1006.0,1.0,24.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:28
10490,45.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,23,,,,,,,,29.0,88.0,1006.0,1.0,27.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:28
13653,67.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,23,,,,,,,,29.0,88.0,1006.0,1.0,27.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:28
13655,56.0,2025-11-24 20:43:16,2613,"Samarahan, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/samarahan,1.454853,110.491505,40,,,,,,,,26.0,94.0,1007.5,1.2,25.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:28
14903,79.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,25,pm25,25.0,23.0,5.0,,3.0,3.0,30.0,66.0,1007.0,2.0,23.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:28
13647,59.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,23,,,,,,,,29.0,88.0,1006.0,1.0,27.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:29
13650,19.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,25,pm25,25.0,23.0,5.0,,3.0,3.0,30.0,66.0,1007.0,2.0,23.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:29
13841,31.0,2025-11-24 20:43:16,2606,"Tawau, Sabah, Malaysia",https://aqicn.org/city/malaysia/sabah/tawau,4.249786,117.935864,43,,,,,,,,29.0,83.0,1006.0,1.0,26.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:30
13644,59.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,25,pm25,25.0,23.0,5.0,,3.0,3.0,30.0,66.0,1007.0,2.0,23.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:30
8289,85.0,2025-11-24 20:43:16,1663,"South, Singapore",https://aqicn.org/city/singapore/south,1.296183,103.846181,25,pm25,25.0,23.0,5.0,,3.0,3.0,30.0,66.0,1007.0,2.0,23.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:30
8294,25.0,2025-11-24 20:43:16,9495,"Pengerang, Johor, Malaysia",https://aqicn.org/city/malaysia/johor/pengerang,1.389489,104.149586,50,,,,,,,,29.0,74.0,1006.0,3.0,24.0,,,2025-11-27 17:00:00,+08:00,1764262800,2025-11-27 10:12:30
13645,23.0,2025-11-24 20:43:16,2609,"Kapit, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/kapit,2.014498,112.92736,16,,,,,,,,,,,,,,,2025-11-27 17:00:00,+08:00,1764262800,2025-11-27 10:12:30
13654,,2025-11-24 20:43:16,6442,Winnellie,https://aqicn.org/city/australia/northen/winnellie,-12.424323299931126,130.89335024356842,26,pm25,26.0,10.0,3.2,0.8,3.7,0.4,30.1,77.06666666666668,1004.3,10.18,25.6,12.800000000000002,,2025-11-27 19:00:00,+09:30,1764270000,2025-11-27 10:12:31
1827,,2025-11-24 20:43:16,1827,"Municipal Health Center 1, Phuket, Thailand (ศูนย์บริการสาธารณสุข 1 กองการแพทย์ เทศบาลนครภูเก็ต)",https://aqicn.org/city/thailand/phuket/municipal-health-center-1,7.884488,98.391283,57,pm25,57.0,31.0,,4.7,0.6,,31.1,56.7,1007.8,1.0,21.5,1.4,,2025-11-27 16:00:00,+07:00,1764259200,2025-11-27 10:12:33
8293,90.0,2025-11-24 20:43:16,2606,"Tawau, Sabah, Malaysia",https://aqicn.org/city/malaysia/sabah/tawau,4.249786,117.935864,43,,,,,,,,29.0,83.0,1006.0,1.0,26.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:33
8342,27.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,23,,,,,,,,29.0,88.0,1006.0,1.0,27.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:33
6818,87.0,2025-11-24 20:43:16,6818,"Regional Environmental Office 8, Thailand (สำนักงานสิ่งแวดล้อมภาคที่ 8 ราชบุรี)",https://aqicn.org/city/thailand/regional-environmental-office-8,13.5234,99.814082,85,pm25,85.0,25.0,17.4,2.9,0.6,0.1,28.0,39.0,1011.0,6.1,13.0,,,2025-11-27 16:00:00,+07:00,1764259200,2025-11-27 10:12:33
1868,79.0,2025-11-24 20:43:16,1868,"Provincial Administrative Stadium, Lamphun, Thailand (สนามกีฬาองค์การบริหารส่วนจังหวัดลำพูน)",https://aqicn.org/city/thailand/lamphun/provincial-administrative-stadium,18.567194,99.038639,76,pm25,76.0,82.0,14.6,7.5,0.6,,26.0,34.0,1016.0,5.6,9.0,,,2025-11-27 16:00:00,+07:00,1764259200,2025-11-27 10:12:33
8292,14.0,2025-11-24 20:43:16,2616,"Sri Aman, Sarawak, Malaysia",https://aqicn.org/city/malaysia/sarawak/sri-aman,1.219656,111.464792,23,,,,,,,,29.0,88.0,1006.0,1.0,27.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:33
1828,60.0,2025-11-24 20:43:16,1828,"Natural Resources and Environment Office, Chiangrai, Thailand (สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดเชียงราย)",https://aqicn.org/city/thailand/chiangrai/natural-resources-and-environment-office,19.909217,99.823467,68,pm25,68.0,31.0,12.7,0.6,,0.1,23.8,51.5,982.3,1.0,,,,2025-11-27 16:00:00,+07:00,1764259200,2025-11-27 10:12:33
13628,62.0,2025-11-24 20:43:16,13628,"Polytechnic College, Trang, Thailand (วิทยาลัยสารพัดช่างตรัง)",https://aqicn.org/city/thailand/trang/polytechnic-college,7.570238,99.588743,72,pm25,72.0,26.0,,0.6,,0.1,29.0,65.0,1008.0,4.1,22.0,,,2025-11-27 16:00:00,+07:00,1764259200,2025-11-27 10:12:34
9587,,2025-11-24 20:43:16,9587,"Chiangrai - Gaia Station 07, Thailand",https://aqicn.org/city/thailand/chiangrai---gaia-station-07,19.858547,99.90148,68,pm25,68.0,21.0,,,,,26.0,39.0,1017.0,5.1,11.0,,,2025-11-27 17:00:00,+07:00,1764262800,2025-11-27 10:12:34
1829,14.0,2025-11-24 20:43:16,1829,"Natural Resources and Environment Office, Mae Hongson, Thailand (สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดแม่ฮ่องสอน)",https://aqicn.org/city/thailand/mae-hongson/natural-resources-and-environment-office,19.30455,97.97165,39,pm25,39.0,21.0,4.8,3.5,,0.1,28.0,32.9,983.8,4.1,10.2,,,2025-11-27 17:00:00,+07:00,1764262800,2025-11-27 10:12:34
1823,66.0,2025-11-24 20:43:16,1823,"Lampang Meteorological Station, Thailand (สถานีอุตุนิยมวิทยาลำปาง)",https://aqicn.org/city/thailand/lampang-meteorological-station,18.2783333,99.5064666,57,pm25,57.0,75.0,11.5,1.8,0.6,0.1,25.1,49.0,1012.4,2.6,,,,2025-11-27 16:00:00,+07:00,1764259200,2025-11-27 10:12:36
2583,22.0,2025-11-24 20:43:16,2583,"Langkawi, Kedah, Malaysia",https://aqicn.org/city/malaysia/kedah/langkawi,6.331539,99.85846,52,,,,,,,,27.0,78.0,1007.0,1.5,23.0,,,2025-11-27 17:00:00,+08:00,1764262800,2025-11-27 10:12:37
1831,70.0,2025-11-24 20:43:16,1831,"Knowledge Park, Phayao, Thailand (อุทยานการเรียนรู้กว๊านพะเยา)",https://aqicn.org/city/thailand/phayao/knowledge-park,19.200226,99.893048,62,pm25,62.0,77.0,13.1,6.4,,0.1,23.3,54.0,982.8,1.0,,,,2025-11-27 17:00:00,+07:00,1764262800,2025-11-27 10:12:37
8325,43.0,2025-11-24 20:43:16,8325,"Health Promotion Hospital Ta See, Lampang, Thailand (โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าสี ลำปาง)",https://aqicn.org/city/thailand/lampang/health-promotion-hospital-ta-see,18.4267833,99.7576333,55,pm25,55.0,12.0,0.8,1.2,0.6,0.1,25.1,49.0,1012.4,2.6,,,,2025-11-27 16:00:00,+07:00,1764259200,2025-11-27 10:12:37
8287,31.0,2025-11-24 20:43:16,2597,"Seri Manjung, Perak, Malaysia",https://aqicn.org/city/malaysia/perak/seri-manjung,4.200344,100.663358,24,,,,,,,,25.0,94.0,1007.0,1.0,24.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:37
10481,79.0,2025-11-24 20:43:16,10481,"Pak Prak, Kanchanaburi, Kanchanaburi, Thailand (ต.ปากแพรก อ.เมือง จ.กาญจนบุรี)",https://aqicn.org/city/thailand/kanchanaburi/kanchanaburi/pak-prak,14.022376,99.536195,82,pm25,82.0,47.0,6.7,,,0.1,28.7,38.5,1008.9,2.0,13.2,,,2025-11-27 17:00:00,+07:00,1764262800,2025-11-27 10:12:37
8646,25.0,2025-11-24 20:43:16,1827,"Municipal Health Center 1, Phuket, Thailand (ศูนย์บริการสาธารณสุข 1 กองการแพทย์ เทศบาลนครภูเก็ต)",https://aqicn.org/city/thailand/phuket/municipal-health-center-1,7.884488,98.391283,57,pm25,57.0,31.0,,4.7,0.6,,31.1,56.7,1007.8,1.0,21.5,1.4,,2025-11-27 16:00:00,+07:00,1764259200,2025-11-27 10:12:38
9013,65.0,2025-11-24 20:43:16,9013,"Mae Pa,Mae Sot,Tak, Thailand (ต.แม่ปะ อ.แม่สอด จ.ตาก)",https://aqicn.org/city/thailand/tak/mae-sot/mae-pa,16.734413,98.566961,57,pm25,57.0,79.0,4.8,12.1,,0.1,27.0,36.0,1013.0,5.6,11.0,,,2025-11-27 16:00:00,+07:00,1764259200,2025-11-27 10:12:38
13576,,2025-11-24 20:43:16,13576,"Prachuap Khiri Khan - Gaia Station 10, Thailand",https://aqicn.org/city/thailand/prachuap-khiri-khan/gaia-10,11.80027,99.790596,91,pm25,91.0,32.8,,,,,27.8,45.3,1009.8,6.1,14.9,,,2025-11-27 17:00:00,+07:00,1764262800,2025-11-27 10:12:39
2597,27.0,2025-11-24 20:43:16,2597,"Seri Manjung, Perak, Malaysia",https://aqicn.org/city/malaysia/perak/seri-manjung,4.200344,100.663358,24,,,,,,,,25.0,94.0,1007.0,1.0,24.0,,,2025-11-27 18:00:00,+08:00,1764266400,2025-11-27 10:12:39
8324,63.0,2025-11-24 20:43:16,8324,"Health Promotion Hospital Sob Pad, Lampang, Thailand (โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสบป้าด ลำปาง)",https://aqicn.org/city/thailand/lampang/health-promotion-hospital-sob-pad,18.2508166,99.76395,55,pm25,55.0,11.0,17.4,0.6,0.6,0.1,25.1,49.0,1012.4,2.6,,,,2025-11-27 16:00:00,+07:00,1764259200,2025-11-27 10:12:39
1822,55.0,2025-11-24 20:43:16,1822,"Yupparaj Wittayalai School, Chiangmai, Thailand (โรงเรียนยุพราชวิทยาลัย)",https://aqicn.org/city/thailand/chiangmai/yupparaj-wittayalai-school,18.7909333,98.99,52,pm25,52.0,82.0,14.6,7.5,0.6,,26.0,34.0,1016.0,5.6,9.0,,,2025-11-27 16:00:00,+07:00,1764259200,2025-11-27 10:12:39
