global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
781,68.0,2025-11-23 03:29:42,781,"Tianhu, Guangzhou (广州天湖)",https://aqicn.org/city/guangdong/guangzhou/tianhu,23.6502,113.6246,72,pm25,72.0,17.0,43.1,3.2,3.1,4.6,22.0,44.5,1021.0,0.5,9.5,,,2025-11-24 09:00:00,+08:00,1763974800,2025-11-24 02:48:49
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,117,pm25,117.0,56.0,13.0,25.6,6.6,5.5,22.0,68.0,1020.0,3.6,16.0,,,2025-11-24 10:00:00,+08:00,1763978400,2025-11-24 02:48:48
793,132.0,2025-11-23 03:29:42,793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",https://aqicn.org/city/guangdong/fushan/gaomingkongtang,22.8693,112.844,122,pm25,122.0,66.0,24.0,16.5,10.2,4.6,24.5,33.0,1021.0,2.5,7.5,,,2025-11-24 10:00:00,+08:00,1763978400,2025-11-24 02:48:58
801,114.0,2025-11-23 03:29:42,801,"Shuāngqiáo, Jiangmen (江门双桥)",https://aqicn.org/city/guangdong/jiangmen/shuangqiao,22.5862,112.5814,124,pm25,124.0,67.0,17.9,15.6,9.7,4.6,16.8,82.0,1011.9,2.0,13.7,99.6,,2025-11-24 10:00:00,+08:00,1763978400,2025-11-24 02:49:12
805,87.0,2025-11-23 03:29:42,805,"Kengkouzi station, Zhaoqing (肇庆坑口子站)",https://aqicn.org/city/guangdong/zhaoqing/kangkouzizhan,23.1617,112.565,93,pm25,93.0,40.0,19.9,15.6,6.6,5.5,24.5,33.0,1021.0,2.5,7.5,,,2025-11-24 10:00:00,+08:00,1763978400,2025-11-24 02:49:03
822,137.0,2025-11-23 03:29:42,822,"Yangtze River tourist area, Zhongshan (中山长江旅游区)",https://aqicn.org/city/guangdong/zhongshan/changjianglvyouqu,22.4886,113.434,112,pm25,112.0,50.0,14.7,24.7,5.6,8.2,22.5,66.0,1020.0,3.6,16.0,,,2025-11-24 10:00:00,+08:00,1763978400,2025-11-24 02:49:23
824,122.0,2025-11-23 03:29:42,824,"Zhangxi, Zhongshan (中山张溪)",https://aqicn.org/city/guangdong/zhongshan/zhangxi,22.5481,113.365,114,pm25,114.0,59.0,20.4,25.6,7.1,6.4,23.0,40.0,1020.0,2.5,9.0,,,2025-11-24 10:00:00,+08:00,1763978400,2025-11-24 02:49:47
916,122.0,2025-11-23 03:29:42,916,"Kwai Chung, Shenzhen (宝安区 新安街道)",https://aqicn.org/city/shenzhen/xixiang,22.575856,113.862238,114,pm25,114.0,54.0,11.4,23.8,3.6,5.5,23.0,40.0,1020.0,2.5,9.0,,,2025-11-24 10:00:00,+08:00,1763978400,2025-11-24 02:49:04
919,95.0,2025-11-23 03:29:42,919,"Pingshan, Shenzhen (坪山区 坪山街道)",https://aqicn.org/city/shenzhen/pingshan,22.690824,114.346126,89,pm25,89.0,50.0,25.2,11.5,6.6,6.4,23.6,74.2,1019.2,0.5,,,,2025-11-24 10:00:00,+08:00,1763978400,2025-11-24 02:49:15
921,97.0,2025-11-23 03:29:42,921,"Nan'aozhen, Shenzhen (大鹏新区 南澳街道)",https://aqicn.org/city/shenzhen/nanao,22.528186,114.496906,95,pm25,95.0,34.0,46.3,6.0,6.1,6.4,23.7,73.5,1019.1,1.1,,,,2025-11-24 10:00:00,+08:00,1763978400,2025-11-24 02:49:02
1302,97.0,2025-11-23 03:29:42,1302,"Gulangyu, Xiamen (厦门鼓浪屿)",https://aqicn.org/city/china/xiamen/gulangyu,24.445833333,118.06361111,119,pm25,119.0,57.0,19.9,18.3,5.6,6.4,24.0,57.0,1019.0,1.5,15.0,,,2025-11-24 10:00:00,+08:00,1763978400,2025-11-24 02:49:30
