global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
781,68.0,2025-11-23 03:29:42,781,"Tianhu, Guangzhou (广州天湖)",https://aqicn.org/city/guangdong/guangzhou/tianhu,23.6502,113.6246,59,pm25,59.0,16.0,41.9,3.2,3.1,4.6,23.5,34.0,1021.5,2.0,7.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:18
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,127,pm25,127.0,57.0,37.4,17.0,4.6,4.6,22.0,56.0,1020.0,4.6,13.0,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:38:18
793,132.0,2025-11-23 03:29:42,793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",https://aqicn.org/city/guangdong/fushan/gaomingkongtang,22.8693,112.844,107,pm25,107.0,67.0,21.6,13.3,7.6,3.7,24.0,35.0,1021.0,1.5,8.0,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:38:25
801,114.0,2025-11-23 03:29:42,801,"Shuāngqiáo, Jiangmen (江门双桥)",https://aqicn.org/city/guangdong/jiangmen/shuangqiao,22.5862,112.5814,132,pm25,132.0,60.0,30.5,10.6,6.6,4.6,20.2,57.7,1015.5,1.0,11.6,99.6,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:37
805,87.0,2025-11-23 03:29:42,805,"Kengkouzi station, Zhaoqing (肇庆坑口子站)",https://aqicn.org/city/guangdong/zhaoqing/kangkouzizhan,23.1617,112.565,95,pm25,95.0,40.0,26.4,14.7,7.6,4.6,24.0,35.0,1021.0,1.5,8.0,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:38:27
9851,104.0,2025-11-23 03:29:42,812,"Henan'an, Huizhou (惠州河南岸)",https://aqicn.org/city/guangdong/huizhou/henanan,23.0528,114.4183,95,pm25,95.0,43.0,,10.1,4.1,4.6,23.4,50.0,1019.6,1.0,12.4,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:39:07
822,137.0,2025-11-23 03:29:42,822,"Yangtze River tourist area, Zhongshan (中山长江旅游区)",https://aqicn.org/city/guangdong/zhongshan/changjianglvyouqu,22.4886,113.434,117,pm25,117.0,50.0,37.8,20.2,5.6,7.3,21.5,60.0,1021.0,5.1,13.5,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:49
824,122.0,2025-11-23 03:29:42,824,"Zhangxi, Zhongshan (中山张溪)",https://aqicn.org/city/guangdong/zhongshan/zhangxi,22.5481,113.365,132,pm25,132.0,62.0,32.9,20.6,6.1,5.5,25.0,33.0,1020.0,2.5,8.0,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:39:10
916,122.0,2025-11-23 03:29:42,916,"Kwai Chung, Shenzhen (宝安区 新安街道)",https://aqicn.org/city/shenzhen/xixiang,22.575856,113.862238,107,pm25,107.0,50.0,42.3,14.2,3.1,4.6,25.0,33.0,1020.0,2.5,8.0,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:38:32
919,95.0,2025-11-23 03:29:42,919,"Pingshan, Shenzhen (坪山区 坪山街道)",https://aqicn.org/city/shenzhen/pingshan,22.690824,114.346126,97,pm25,97.0,49.0,40.3,8.7,6.1,6.4,24.0,66.7,1019.0,0.2,,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:38:45
921,97.0,2025-11-23 03:29:42,921,"Nan'aozhen, Shenzhen (大鹏新区 南澳街道)",https://aqicn.org/city/shenzhen/nanao,22.528186,114.496906,85,pm25,85.0,36.0,58.4,5.5,4.6,5.5,24.0,66.7,1019.0,0.2,,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:38:29
1302,97.0,2025-11-23 03:29:42,1302,"Gulangyu, Xiamen (厦门鼓浪屿)",https://aqicn.org/city/china/xiamen/gulangyu,24.445833333,118.06361111,91,pm25,91.0,46.0,37.0,14.7,2.6,4.6,24.0,53.0,1020.0,1.5,14.0,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:38:55
