global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
781,68.0,2025-11-23 03:29:42,781,"Tianhu, Guangzhou (广州天湖)",https://aqicn.org/city/guangdong/guangzhou/tianhu,23.6502,113.6246,89,pm25,89.0,20.0,41.1,4.6,12.2,7.3,20.0,56.0,1019.0,0.5,11.0,,,2025-11-24 01:00:00,+08:00,1763946000,2025-11-23 18:15:13
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,147,pm25,147.0,60.0,25.2,19.7,4.1,4.6,21.5,85.5,1018.0,2.5,19.0,,,2025-11-24 01:00:00,+08:00,1763946000,2025-11-23 18:15:13
793,132.0,2025-11-23 03:29:42,793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",https://aqicn.org/city/guangdong/fushan/gaomingkongtang,22.8693,112.844,127,pm25,127.0,57.0,14.3,18.8,4.1,4.6,20.0,56.0,1019.0,0.5,11.0,,,2025-11-24 01:00:00,+08:00,1763946000,2025-11-23 18:15:26
801,114.0,2025-11-23 03:29:42,801,"Shuāngqiáo, Jiangmen (江门双桥)",https://aqicn.org/city/guangdong/jiangmen/shuangqiao,22.5862,112.5814,124,pm25,124.0,57.0,5.3,14.7,2.1,4.6,18.9,74.7,1012.3,2.0,14.3,99.6,,2025-11-24 01:00:00,+08:00,1763946000,2025-11-23 18:15:36
805,87.0,2025-11-23 03:29:42,805,"Kengkouzi station, Zhaoqing (肇庆坑口子站)",https://aqicn.org/city/guangdong/zhaoqing/kangkouzizhan,23.1617,112.565,74,pm25,74.0,30.0,17.9,18.3,3.1,4.6,20.0,56.0,1019.0,0.5,11.0,,,2025-11-24 01:00:00,+08:00,1763946000,2025-11-23 18:15:27
9851,104.0,2025-11-23 03:29:42,812,"Henan'an, Huizhou (惠州河南岸)",https://aqicn.org/city/guangdong/huizhou/henanan,23.0528,114.4183,91,pm25,91.0,43.0,,11.9,4.6,4.6,20.3,81.3,1017.3,1.0,17.0,,,2025-11-24 01:00:00,+08:00,1763946000,2025-11-23 18:16:06
822,137.0,2025-11-23 03:29:42,822,"Yangtze River tourist area, Zhongshan (中山长江旅游区)",https://aqicn.org/city/guangdong/zhongshan/changjianglvyouqu,22.4886,113.434,87,pm25,87.0,43.0,22.4,8.3,3.1,6.4,21.5,85.5,1018.0,2.5,19.0,,,2025-11-24 01:00:00,+08:00,1763946000,2025-11-23 18:15:48
824,122.0,2025-11-23 03:29:42,824,"Zhangxi, Zhongshan (中山张溪)",https://aqicn.org/city/guangdong/zhongshan/zhangxi,22.5481,113.365,142,pm25,142.0,70.0,12.6,34.3,4.1,8.2,23.0,49.0,1018.0,0.5,12.0,,,2025-11-24 01:00:00,+08:00,1763946000,2025-11-23 18:16:09
916,122.0,2025-11-23 03:29:42,916,"Kwai Chung, Shenzhen (宝安区 新安街道)",https://aqicn.org/city/shenzhen/xixiang,22.575856,113.862238,147,pm25,147.0,66.0,13.9,33.4,2.6,6.4,23.0,49.0,1018.0,0.5,12.0,,,2025-11-24 01:00:00,+08:00,1763946000,2025-11-23 18:15:31
919,95.0,2025-11-23 03:29:42,919,"Pingshan, Shenzhen (坪山区 坪山街道)",https://aqicn.org/city/shenzhen/pingshan,22.690824,114.346126,114,pm25,114.0,63.0,7.8,33.4,5.1,7.3,22.1,85.0,1017.6,0.4,,,,2025-11-24 01:00:00,+08:00,1763946000,2025-11-23 18:15:44
921,97.0,2025-11-23 03:29:42,921,"Nan'aozhen, Shenzhen (大鹏新区 南澳街道)",https://aqicn.org/city/shenzhen/nanao,22.528186,114.496906,76,pm25,76.0,35.0,40.7,4.6,3.1,6.4,21.6,86.0,1017.0,0.3,,,,2025-11-24 01:00:00,+08:00,1763946000,2025-11-23 18:15:29
1302,97.0,2025-11-23 03:29:42,1302,"Gulangyu, Xiamen (厦门鼓浪屿)",https://aqicn.org/city/china/xiamen/gulangyu,24.445833333,118.06361111,72,pm25,72.0,33.0,24.4,11.0,2.6,4.6,19.0,77.0,1019.0,0.5,15.0,,,2025-11-24 01:00:00,+08:00,1763946000,2025-11-23 18:15:55
1335,109.0,2025-11-23 03:29:42,1335,"Daziran Garden, Nanning (南宁大自然花园)",https://aqicn.org/city/china/nanning/daziranhuayuan,22.805,108.383,112,pm25,112.0,50.0,29.3,11.0,5.1,5.5,14.0,87.0,1020.0,0.5,12.0,,,2025-11-24 01:00:00,+08:00,1763946000,2025-11-23 18:15:41
1342,87.0,2025-11-23 03:29:42,1342,"Xiuying Hainan Hospital, Haikou (海口秀英海南医院)",https://aqicn.org/city/china/haikou/xiuyinghainanyiyuan,20.0053,110.283,91,pm25,91.0,45.0,71.4,6.0,4.1,3.7,19.0,88.0,1018.0,1.5,17.0,,,2025-11-24 01:00:00,+08:00,1763946000,2025-11-23 18:15:49
