global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
781,68.0,2025-11-23 03:29:42,781,"Tianhu, Guangzhou (广州天湖)",https://aqicn.org/city/guangdong/guangzhou/tianhu,23.6502,113.6246,61,pm25,61.0,18.0,52.6,3.2,4.1,5.5,24.0,35.0,1018.0,2.5,8.0,,,2025-11-23 17:00:00,+08:00,1763917200,2025-11-23 10:38:38
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,134,pm25,134.0,58.0,76.0,16.0,4.1,3.7,22.0,64.0,1017.0,3.0,15.0,,,2025-11-23 18:00:00,+08:00,1763920800,2025-11-23 10:38:38
793,132.0,2025-11-23 03:29:42,793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",https://aqicn.org/city/guangdong/fushan/gaomingkongtang,22.8693,112.844,93,pm25,93.0,40.0,52.6,11.5,4.1,3.7,24.0,35.0,1018.0,2.5,8.0,,,2025-11-23 18:00:00,+08:00,1763920800,2025-11-23 10:38:43
801,114.0,2025-11-23 03:29:42,801,"Shuāngqiáo, Jiangmen (江门双桥)",https://aqicn.org/city/guangdong/jiangmen/shuangqiao,22.5862,112.5814,129,pm25,129.0,51.0,57.1,9.6,5.1,3.7,24.8,39.0,1011.6,2.0,9.9,99.6,,2025-11-23 17:00:00,+08:00,1763917200,2025-11-23 10:38:49
805,87.0,2025-11-23 03:29:42,805,"Kengkouzi station, Zhaoqing (肇庆坑口子站)",https://aqicn.org/city/guangdong/zhaoqing/kangkouzizhan,23.1617,112.565,85,pm25,85.0,40.0,57.8,10.6,4.6,4.6,24.0,35.0,1018.0,2.5,8.0,,,2025-11-23 18:00:00,+08:00,1763920800,2025-11-23 10:38:44
9851,104.0,2025-11-23 03:29:42,812,"Henan'an, Huizhou (惠州河南岸)",https://aqicn.org/city/guangdong/huizhou/henanan,23.0528,114.4183,102,pm25,102.0,51.0,,23.8,4.6,4.6,22.7,61.8,1015.9,1.0,15.0,,,2025-11-23 18:00:00,+08:00,1763920800,2025-11-23 10:39:22
822,137.0,2025-11-23 03:29:42,822,"Yangtze River tourist area, Zhongshan (中山长江旅游区)",https://aqicn.org/city/guangdong/zhongshan/changjianglvyouqu,22.4886,113.434,91,pm25,91.0,50.0,76.0,11.9,4.1,5.5,22.0,64.0,1017.0,3.0,15.0,,,2025-11-23 17:00:00,+08:00,1763917200,2025-11-23 10:39:04
824,122.0,2025-11-23 03:29:42,824,"Zhangxi, Zhongshan (中山张溪)",https://aqicn.org/city/guangdong/zhongshan/zhangxi,22.5481,113.365,109,pm25,109.0,51.0,71.4,16.0,4.1,5.5,24.0,41.0,1017.0,2.5,10.0,,,2025-11-23 18:00:00,+08:00,1763920800,2025-11-23 10:39:31
916,122.0,2025-11-23 03:29:42,916,"Kwai Chung, Shenzhen (宝安区 新安街道)",https://aqicn.org/city/shenzhen/xixiang,22.575856,113.862238,91,o3,82.0,45.0,91.0,13.8,2.1,4.6,24.0,41.0,1017.0,2.5,10.0,,,2025-11-23 17:00:00,+08:00,1763917200,2025-11-23 10:38:45
919,95.0,2025-11-23 03:29:42,919,"Pingshan, Shenzhen (坪山区 坪山街道)",https://aqicn.org/city/shenzhen/pingshan,22.690824,114.346126,62,o3,97.0,55.0,62.3,19.7,5.1,5.5,23.1,68.0,1016.9,0.3,,,,2025-11-23 17:00:00,+08:00,1763917200,2025-11-23 10:38:56
